path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\0167361113.wav,१०० खेल खेल्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\016886332c.wav,१३ दिनसम्म क्रियामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01e1270a5a.wav,१३ वर्षको भइस्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\018db40b99.wav,१९८० मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\014dc6a49c.wav,१९९६बाट तन्जानियाको सरकारी राजधानी दोदोमा हो जहाँ संसद र केही सरकारी कार्यालय स्थित छन्।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\0139acabd3.wav,२००८ मा समाप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01776b2144.wav,२०१५ श्रावण १०मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\013f590098.wav,२०२८ सालको जनगणनाअनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01c95b7b65.wav,२०३४ सालमा सामान्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\0103d2b814.wav,३ हजार ७ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01425cfd45.wav,४०० किमि पर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01f2d75119.wav,५ को सरकारलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\010ea8d3ad.wav,६१० सवार र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01bd57d0d6.wav,९ बुँदे सुझाव
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01f9eec21b.wav,अझ बढी जानकारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\019bbeb19f.wav,अत मेरो विचारमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01dac45c7d.wav,अतिरिक्त टोकियोको लन्डन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01dd3c20ca.wav,अद्‌भूत क्षमताले मरुभूमीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01adb36a22.wav,अधिकार पाउन थाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01ed39becf.wav,अध्यक्ष बनेकी भुसालले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\01c4a54c46.wav,अनि तपाईँको शिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\01\processed_wav\014c4f0a2f.wav,अनुकूल छन् विशेष
