path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52002f64aa.wav,१५ अप्रिल २०१२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\527c6b87a1.wav,१८ अगस्ट १९८२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\523aca0ee0.wav,१८ हजार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\527c87b20f.wav,१ को ख मा आदिवासी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\527cb1bb34.wav,२००७ मा गुच्चीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5220c2c1c4.wav,२००८ मङ्सिरमा रुकुमका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52a12611fd.wav,२०१४ साल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\523d223d8c.wav,२०२८ जेठमा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5259053b02.wav,२०४६ सालको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f127c13e.wav,२०५८ को राष्ट्रिय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\523b80a74f.wav,२०५९ साल असोज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52b1da427d.wav,२०६० असार २९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52e7e30c9a.wav,२८१ का दरले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\524dc2d25f.wav,२८ जुलाई २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52be7089b7.wav,४५ हजार किमि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52d448ef5e.wav,५ छोरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52e0f1f650.wav,अग्ला हिमाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52a8373acb.wav,अछाम जिल्लाको आवासयोग्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\525398fe41.wav,अझै सेलाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\524c8dac52.wav,अञ्चल कास्की जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\524e9d808c.wav,अञ्चलको बारा जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52df95cf66.wav,अञ्चलको बैतडी जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52469fbe3f.wav,अथवा कुनै अर्को
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\524d1dff4c.wav,अधिकार लाग्दैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\522430b8fb.wav,अधिकार सम्मेलनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\522e3ae28c.wav,अध्यक्ष हुनु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5247dd4123.wav,अनुरोध गर्न सक्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f3f0f8f9.wav,अनुवादित माफाल्दाको पुस्तक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52df13ba5a.wav,अनुसन्धानबाट अस्तित्वमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\524f3e6910.wav,अनुसार यहाँका कैदीहरूलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52b46e51c2.wav,अन्य क्षेत्रमाथि आक्रमण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\527ee1c02d.wav,अपेक्षाकृत बढी सेतो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\528bf5ca24.wav,अफ द नोमेड्स
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5261842a2b.wav,अब मानौँ कि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\529b4c37c1.wav,अमिरजी तपाईँले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5256c9389f.wav,अर्को दोस्रो भाषा हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52558c8239.wav,अवस्थामा पुगेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f85725fa.wav,असम्भव हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52b511931c.wav,असान्दर्भिक र नराम्रो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52daaf10a3.wav,अहिंसाको उपदेश यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5289080de0.wav,आइ इन द स्काई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52c50cf6ba.wav,आजको दिनमा यस्तो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5244c12303.wav,आटालाई प्रयोग गर्न सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52b752728a.wav,आदि हुन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5281716c57.wav,आदेश दिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5291c6feca.wav,आन्दोलनमा उत्रे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52924f9421.wav,आफूभन्दा कान्छा भाइ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52ea5f42df.wav,आफूलाई सफलतापूर्वक बालकलाकारको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f103ddb4.wav,आफ्ना बालबालिकाहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52d3439857.wav,आफ्नो तेज पुनःप्राप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52b1c28779.wav,आफ्नो पालनकार अल्लाहका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52d2721c3f.wav,आफ्नो लक्ष्य रहेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52d1156564.wav,आफ्नो साझेदार न्यान्सी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\520b2b1005.wav,आयोजना गरेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52cc40bcfa.wav,आर्थिक दृष्टिकोणबाट हेर्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52a564f42a.wav,आलो तुल्याई छाड्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52a72da7f4.wav,आवश्यकता छ समाजमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5225564f4c.wav,आविष्कार गरेपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52a7d8cb89.wav,आशोको जीवनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\520b441f80.wav,इतिहासकार बिल गैमेजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52322e48cf.wav,इन्चसम्म फैलिएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\525e3a8836.wav,इन्टरनेटको ज्ञान आजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52d4a3d52d.wav,इन्द्रचोकमै जन्मिएका चुडानाथ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\528804c7e6.wav,इन्द्र राजभण्डारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5233513add.wav,इन्द्रेणीको पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5249a068f4.wav,ईपू १००२ का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\520e58edef.wav,ईपू ८५२ का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52098b5b8a.wav,ईपू ९०७ का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\529dac99df.wav,उच्च व्यक्तित्व भएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5226fd197c.wav,उजागर गराउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52eac56f71.wav,उत्तरी क्षेत्रको कनिस्टनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f46c6c13.wav,उत्पादनका कारण हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f300a053.wav,उत्पादन हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\521e53f7a5.wav,उद् बुद्ध उमावि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f1623a83.wav,उद्योग जस्तो रसायन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5288e8850c.wav,उधारो लिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52f2b3564f.wav,उनका पिताको नाम विष्णुप्रसाद र माताको नाम प्रेमकुमारी हो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52bfb95f5c.wav,उनका सबै नै कृति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52eae7a64f.wav,उनकै नाममा जगदम्बाश्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52ea09b088.wav,उनको बीसौँ जन्मदिनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\521d0e6343.wav,उनले आफ्नो एउटा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\523fe6812c.wav,उनले उनका भाइ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52825d884d.wav,उनले निकै कम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5254534c80.wav,उनले भायोलिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5232b8ab27.wav,उनले यो पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52422196b1.wav,उनी अमेरिकाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52be352f07.wav,उनी आफूलाई सर्काएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5264b5c3da.wav,उनी तीन बच्चाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\523388131f.wav,उनी पछि उनकै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5205d82de3.wav,उनी भारत सरकारका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52d913652d.wav,उनी सङ्गीत बुझ्थे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52c7f570b5.wav,उपत्यकालाई काठमाडौँ र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52270b08e9.wav,उपयुक्त हुनेछ कि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52256597ff.wav,उपोष्ण १८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5270e20a9f.wav,उराव जातिको रहनसहनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\524e282655.wav,उहाँको अन्तिम चलचित्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52146894fa.wav,उहाँ प्रवासमा दुईचोटि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\52670db88c.wav,उहाँले आमाबुबाबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\52\processed_wav\5227a65ce9.wav,उहाँले थुप्रै शैक्षिक
