path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b425a9513.wav,०५८ मा माओवादी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5bed4ec3ba.wav,११ इलाका र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5bb43c504d.wav,११ वटा इलाका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b01d6d43f.wav,१ २ दिनलाई म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b5470321c.wav,१४ प्रमुख थिइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b6f497c29.wav,१४ राष्ट्र दक्षिण अमेरिकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5beb793a53.wav,१६ इन्च साइजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b8454e8c1.wav,१८५० मा बढेर पुग्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b4a944560.wav,१९४९ एक स्पेनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b3d286191.wav,१ दशमलव ५०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5bd2dff627.wav,२००३ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b09d88a7b.wav,२०१७ सालमा प्रजातन्त्रको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5bc5f20955.wav,२०५० सालसम्म उनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b5a62603b.wav,२०५९ मा माओवादीले गठन गरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b21e08eb9.wav,२०६४ सालको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5bbd66a26a.wav,२०७० साल जेठ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5b\processed_wav\5b0366ed40.wav,२३ जुलाईमा
