path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e934270b8.wav,११९५ ईश्वीमा त्यसले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9eae5db9b1.wav,१३ औँ शताब्दीका चिस्ती
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9ea1b198b7.wav,१५० शैय्याको कान्ति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e0d589a39.wav,१८ अरब १८०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e2841f9a5.wav,१९६० मा जन्मेकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e0a8f94d6.wav,१९८४ र २००४ को
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e389358f0.wav,१९९४ सम्मै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e6e7c8a71.wav,१ विकेट लिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9efb038f6a.wav,२००७ मा २४
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e1eb1c366.wav,२०३१ सालमा विद्यार्थी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e67ea8072.wav,२२७ युलू मोटे गरिमा अनुमान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e5c5321b3.wav,३ सय १
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9ee78efc27.wav,४०० मानेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e6be08cc1.wav,४४ प्रतिशतले बढेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e68e416ee.wav,५९ वर्षको जीवनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e94dd2217.wav,७०० मिटरदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e01c8255c.wav,९ महिनाभन्दा बढी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e0c148aae.wav,अक्टोबर समाजवादी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9eee8a7107.wav,अधिकार अघिल्लो प्रकरणमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9ea2018e17.wav,अधिकारको लागि गरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e8df8eb40.wav,अनि उहाँले यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e1bf64563.wav,अनुपातहरूको संरचनामा थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e175c301c.wav,अनुवाद भइसकेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9eb68a7694.wav,अनेक आधुनिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e3bbacd9d.wav,अन्तर्राष्ट्रिय सन्धिमा हस्ताक्षर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9eb2f5bada.wav,अन्तर्राष्ट्रिय समाजवादी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9ee3a99224.wav,अन्तर्राष्ट्रिय साक्षरता दिवस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9e67ae38b9.wav,अन्य सबै स्कुलहरूलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9e\processed_wav\9ebb943aa1.wav,अपभ्रंस भई कास्यपबाट
