path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fdd50fdd9.wav,१००बाट पनि कम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fb0632695.wav,१२ दिन जति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fd3fbd290.wav,१५० वर्ष लाग्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f6c091a32.wav,१७ वटा इलाका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fc873082b.wav,१९०० मा गरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f1436969c.wav,१९२७ मा जब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f892d85e4.wav,१९४५ मा स्थापना भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f248073a2.wav,१९५९ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fae15a29d.wav,१ कण प्रति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9ff2a02ffa.wav,१ नगरपालिका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fb58a3fa8.wav,१ मिटर अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f7c410185.wav,२००६ मा आइफिल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f5792cbe1.wav,२००७ धेरै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f7631f5e0.wav,२००७ मा पिपुल पत्रिकाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9ff05c8e8b.wav,२०११ नमस्ते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fb9630a5a.wav,२०३५ सालमा नेपाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fd36b47c7.wav,२६ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fa678c926.wav,३० श्रमिक मारिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fb6ca8079.wav,३१ प्रदर रोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f7523c670.wav,३ उपर्युक्त देशव्यापी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f2c01cbdd.wav,६ वर्षको अन्तरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9fb3bb9546.wav,८ हिन्दू धर्मावलम्बीहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\9f\processed_wav\9f643a2464.wav,९ जनालाई
