path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a54b96cbd4.wav,१० हजार छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a54dee1a39.wav,१२ अक्टोबर २००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a50287c24f.wav,१४ छुवाछुत तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5decb14e4.wav,१७७९ पौष २७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5e18a3887.wav,१८४७ सालमा विशाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5c635e003.wav,१९२१ मा एडिथ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a53c26323b.wav,१९६१ मा बनेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a543385e6e.wav,१ करोडको लागतमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a57f006338.wav,२०२१ सालमा काँक्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a51995d1d3.wav,२० महिलाको हक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a53794bbba.wav,२६ मार्च १९८९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a52a415c1b.wav,३११६२को उपयोग गरेको पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a54196df6c.wav,७ हजार ७७० हेक्टर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5d4684629.wav,८१ वर्षको हुँदा जन्मेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a520569ded.wav,९ औँ शताब्दीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a587009a0b.wav,अक्सपोर्ड डिक्सनरीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5ef67c87e.wav,अञ्चल बारा जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5a42737f9.wav,अत्यन्त प्रतिकूल वातावरण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5c0b789fa.wav,अध्ययनका लागि सिधै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a52dd164e9.wav,अनगिन्ती पुरस्कार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a55a47dc77.wav,अनुपातहरूको संरचनामा थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5e9dd43f0.wav,अनुभव गर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5dab27901.wav,अनुसन्धानहरूको मार्गदर्शन गर्‍यो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a516b86db4.wav,अनुसार तपाईँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5b5207b5a.wav,अन्तर्गत कुल १९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5ee40caa3.wav,अन्तर्राष्ट्रिय श्रम सङ्गठन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a51f1d788a.wav,अन्न सागसब्जीको विशेष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a560cf9dbb.wav,अन्ना हजारेलाई साथ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5b23ee075.wav,अन्य युरोपियन अवस्थानपछि गायब भयो जुन थाईलेसीन हो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a598ed2ded.wav,अपकृत्यको विषयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5fef5b858.wav,अप्रिलको दिन मनाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a504dbf597.wav,अफगानिस्तानले फेरि एकपटक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a51a732f75.wav,अब भन्नुस्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5a9220ae8.wav,अभिव्यक्ति पत्रिका एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5b612d399.wav,अमेरिकाको टेक्सस सहरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5d0462626.wav,अर्काको होइन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5626da802.wav,अर्को नियमको ढुकुटीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a569ebe511.wav,अर्को ह्यातुङ झरनाभन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a50f3f6193.wav,अवस्थित एक गाविस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a52c39fd52.wav,असर सोसल नेटवर्किङ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a55563c4de.wav,अहमदाबादको प्रमुख जैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5242e211b.wav,आआफ्नो क्षेत्र अधिकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5e9a5e9bf.wav,आइफल टावर आर्क
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5e15790bf.wav,आइफोन आइपोड टच
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a51003013b.wav,आउँ पर्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5e50b7b72.wav,आज तपाईँले धेरै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5d6dface1.wav,आठमध्ये छ द्वार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5b146b488.wav,आदर्श विद्या मन्दिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a59783b750.wav,आधारमा मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5956f979b.wav,आध्यात्मिक ज्ञान प्राप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a565e80665.wav,आन्दोलनमा आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5c51821fc.wav,आफ्ना गुमेको दृष्टि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a56364fab4.wav,आफ्नो देश अनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5cf63f406.wav,आफ्नो भोट दिन सक्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a53f51e037.wav,आफ्नो विचार र धारणा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5d11501ea.wav,आफ्नो विचार राख्दछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a532e609a5.wav,आमालाई पुर्न बाबुको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a534d1e0f4.wav,आयु प्रदान गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5f6feadbc.wav,आर्थिक प्रशासनिक तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a51bd6db16.wav,आलु कोदो फापर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a558d04414.wav,आशा खनाल पुल्चोक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a56c31da00.wav,आश्रममा हैहय क्षेत्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a531438151.wav,आँधीबेहरी हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a52bd9ee27.wav,इलेक्ट्रिसियले तत्काल नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5418aee37.wav,इस्मा राज्य प्रवेशका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5365d7ba4.wav,ईपू ९२५ वा वर्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5f36a76ae.wav,उक्त पुरस्कारद्वारा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a55ef63618.wav,उक्त स्थानमा गुम्बा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5c4893c5c.wav,उच्च आयोगको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5f85fb71a.wav,उठ्नुमा जिन्दगीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a59d279e00.wav,उदाहरणका लागि महलको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a56758f568.wav,उनका बाबुको हिंसा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a52d9b64d6.wav,उनका वाणी विचित्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5a89cf671.wav,उनका साथमा थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a517c6fa3e.wav,उनकी आमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5040fcc16.wav,उनको दिनचर्या पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a59d2863cd.wav,उनको प्रभाव अभिनय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a569aee544.wav,उनले पाएका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5cec9d4d0.wav,उनी १७ मे २००१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5d9c31253.wav,उनीहरूको सर्वस्व
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5184ff3fc.wav,उनीहरूले आफू अलग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5d48aa958.wav,उनी हालको तिब्बतमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a50cf88574.wav,उपयुक्त विभागहरूमा उचित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5b594a623.wav,उपलब्ध छैन तथापि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5c2f0a946.wav,उल्लेख गरिएको पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5a8fe15e7.wav,उल्लेख भएको पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a56b3a3c29.wav,उसलाई नै थाहा छैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a52567e5fa.wav,उसले थाहा पायो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5eaa69610.wav,उहाँ ध्वनीको स्वरूपको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5748584b5.wav,एउटा अंश हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a57227cbf0.wav,एउटा गुफाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5bc74c9cf.wav,एउटी सुन्दरी गायिका हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a5\processed_wav\a5a628de11.wav,एउटै राशीमा हुनेछ
