path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\abaedb0a40.wav,१० देखि ३ बजे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab40dfb46f.wav,१० पात बकाइनो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\abebd65002.wav,१५ मा अनुच्छेद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab54307650.wav,१८ विग्रहको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab1e062e26.wav,१९३४ मा उनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab6f1c6e16.wav,१९४४ मा भएको हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab191b694d.wav,१९५८ मा भएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\abc29cbbea.wav,१९९५ मा आयोजित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab120fb97b.wav,१ दशमलव ५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab10b7f2c8.wav,१ सम्पादन गर्नु पर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab3fcf0350.wav,१ हजार २ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\ab991a839c.wav,२००६ मा यिनीहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ab\processed_wav\abb985d9f8.wav,२०१० को गर्मिहरूको
