path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6c37578d2.wav,०२३ सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6edaab68b.wav,१० वर्षसम्म रह्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6817d95ce.wav,१२ चम्चा तुलसीको गेडा आधा ग्लास पानीमा बेलुका भिजाएर बिहान खाने गरेमा ठिक हुन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b63f08d978.wav,१५ वर्ष फौजमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6a8d38b60.wav,१६० देखि अधिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b632c6e1a3.wav,१७७० मा चेवलियर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b60f7cb8b3.wav,१९ औँ र २० औँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b613fb5439.wav,१ दशमलव ८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b61ef98903.wav,२००८ को जुन २५ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b64ecc0aa2.wav,२०० मिलियन डलर थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6ea014142.wav,२०६४ को दफा ५३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b67a55b82c.wav,२८ फेब्रुवरी १९६३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6c8143e2f.wav,२ निर्वाचन क्षेत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b656c0e3de.wav,३००० जानाको सानो टोली थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b67b8d3fe9.wav,४ को जनसङ्ख्या छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b63838c213.wav,६ गते गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b6\processed_wav\b6a76f0936.wav,७ गते रेडियो
