path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfffcee847.wav,१० कक्षासम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf59d2f9da.wav,११ गते व्यङ्ग्यकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf6b15820f.wav,१७७० मा चेवलियर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf5368de39.wav,१९२७ ईमा उत्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf6566aebd.wav,१९६०को दशकमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf8c77a0cc.wav,१९९० को आत्मकथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf58dd1978.wav,२००१ मा घटित भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf783375a2.wav,२०२७ असारमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf1abf8c49.wav,२०५० सालमा महेन्द्रपुलकै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfd68eacd7.wav,२०७० आर्थिक विकासका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfd6aa0c37.wav,२८ फेब्रुवरी १९६३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf881de2ec.wav,३६ राष्ट्रपतिको निर्वाचन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf30a82b67.wav,६६ मिटर बागे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf4aaae7f8.wav,७ कोष टाढा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cff2ed35fc.wav,८ श्री छविराज पन्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf1ae0ce2e.wav,अगावै २०३३ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf4e39ae70.wav,अग्निप्रसाद लामिछाने हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf91ee07de.wav,अज्ञानताको ढोका खोल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf91577845.wav,अठोट गर्नुभएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf093a1dca.wav,अधिक विश्वास थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf274aa961.wav,अधीनमा गयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf06a19ae5.wav,अन मातृभाषासँगै अङ्ग्रेजी जर्मन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf5f87df66.wav,अनियमित २०२८ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf0945e2f7.wav,अनुकूल मौसम र उब्जाउ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfa3163b83.wav,अनुमान गर्न सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf9343031a.wav,अन्तर्गर्भित पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf02213227.wav,अन्तिम छह अध्यायहरूमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf8aaa5457.wav,अन्तिम रेखा पार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfc5c783f1.wav,अन्त्य गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfc357a917.wav,अभिमुख हुनुपर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfd26a663a.wav,अमर कृति हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfb331a7a2.wav,अर्का एक छोरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfe2421608.wav,अर्थात् पाँचथर सिलिबु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf1572d46a.wav,असफल रहे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfe16b0908.wav,असम्भव प्राय नै हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfc5c7d932.wav,अहिंसाकै उदाहरण थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfa2abeeeb.wav,आएकाले म तपाईँंको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfc205f275.wav,आएका हामी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf9243bcb0.wav,आकशमण्डलको सातौँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfa3b69a19.wav,आठ लाख ८३ हजार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf2b4567cb.wav,आडम्बरका विरोधी थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf2e3fdbe6.wav,आत्मा छ नमार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfdfdd3701.wav,आदि पाएका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf029a6262.wav,आधारमा गरिन्थ्यो त्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf4c7a8ff8.wav,आनुवंशिकताको अध्ययनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf93fdedd5.wav,आफ्ना माइती किरातीहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf705f3616.wav,आफ्नै परिवेशमा ढालेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cfe2ffba03.wav,आफ्नो अदम्य साहस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf3dae6b68.wav,आफ्नो तर्फ गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf8b28edab.wav,आफ्नो मन वचन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf9787bdc8.wav,आमसभा भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cf\processed_wav\cf78bcef11.wav,आयकर सबैले तिर्नुपर्छ
