path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3fc4b71c5.wav,१६ जुन २०१० देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d32245da08.wav,१८६४ ईमा फ्रान्स
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d34246ae9b.wav,१८८४ मा भएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3e7161297.wav,१८९९ देखि १९०२ सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3ee9fbbab.wav,१८९९ हेक्टरमा फैलिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3bcda921d.wav,१९८७ मा ले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3f2589ae7.wav,२० मे २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d36514d7d3.wav,२१ वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d36cad84b7.wav,६५ जिल्लामा पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d396a83ff9.wav,९२ प्रतिशत क्याल्सियम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3b5affaae.wav,अक्टोबर २००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d32bde3e97.wav,अग्लो स्थान ८८४
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d327782d48.wav,अङ्ग्रेजी शिक्षक मास्टर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3ac0a1f22.wav,अठोट गरेका प्रमुख
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3f8520a11.wav,अति प्राचीन कालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d339cd9b0a.wav,अतिशयोक्ति हुन्छ नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3585c0842.wav,अथवा दिमाग हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d33ee9cca0.wav,अधिकार छ र संविधानले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d37f8eef7e.wav,अधिकार राख्दछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3d9d2ba91.wav,अध्ययन गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3023c4e1e.wav,अनसन गरे जसलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3518943af.wav,अनि आचार्य शङ्करले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d33315b796.wav,अनि के हामी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3acd97215.wav,अनिद्रामा यसको जराको रसमा सख्खर मिसाएर खाइन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3fb1bf561.wav,अनिश गिरी हल्यान्डमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d38ccbb8f1.wav,अनुसन्धानकर्ता भएनन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3826ee1ac.wav,अनुसन्धान गरेका डन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d31127df78.wav,अनेक अन्य स्थल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d387278639.wav,अनेक शारीरिक अवस्थाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3d2729b17.wav,अन्तर्गतको महकुमा हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3c5b301be.wav,अन्तर्राष्ट्रिय राजनीतिमा शक्ति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3e3b77360.wav,अन्तर्राष्ट्रिय श्रम सङ्गठनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3a67a38a7.wav,अन्य राज्यका विशेष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d310cfd61d.wav,अप्टिकल खगोल विज्ञान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d38fdd5233.wav,अब्राहम लिङ्कन संयुक्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d39c409033.wav,अभिनय गरिसक्नु भएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d3\processed_wav\d3dde3ed27.wav,अभियानमा अन्ना हजारेलाई
