path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\dada04e5dc.wav,१२७४२ किमि छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da7816a10b.wav,१२ चौका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da2b4f7bf0.wav,१३ मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\daf8dc9d24.wav,१३ हुन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da8be68441.wav,१७९९ मा स्थापना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\dafe2be25a.wav,१८४९ जुन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da2f510d97.wav,१९औँ शताब्दीमा पदार्थको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da4762dc2a.wav,२००५ देखि २००९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da6572348b.wav,४ सय ३१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\dae8b3ddca.wav,६ भूभागमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da242a3d0e.wav,९१ लाख भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da602f79d4.wav,९४ मेगावाट छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da0592373e.wav,अक्टोबर २०११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da1558c5fe.wav,अत्यन्त शुभ मानिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\daaf5d148f.wav,अन्तर्राष्ट्रिय एक दिवसीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da1fbc911e.wav,अन्तर्राष्ट्रिय मजदुर सङ्गठन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\daf7f75354.wav,अन्तिम किराँती राजा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\daf429acd8.wav,अन्तिम शनिबारका दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da7c7f00f9.wav,अन्य जिल्लाहरूमा त्यति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\daa92d2bbd.wav,अब उनले मिस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da67049eca.wav,अभिष्ट थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da258faef0.wav,अमेजन किन्डल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da707fb01a.wav,अमेरिकाको एउटा देश हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\da806cd232.wav,अरू दिन बिहान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\da\processed_wav\dac3cb45b2.wav,अर्काको धर्ममा खलल
