path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7f33cddf1.wav,१० लाख पुरुष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7803c93b2.wav,१९५२ का भारतका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7312c3a3b.wav,१९५६ ई मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7b475972e.wav,१ भन्दा कमको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7270c3359.wav,२०३७ भदैा १७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7481fbb9d.wav,२०६६ सालदेखि नगरपालिकामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7dd051910.wav,३ सय ६६ जनाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e799bac7b8.wav,४ हजार ५ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e76cc0fcca.wav,५४ वर्षीय लेप्चाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7182839f4.wav,५८ महिला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7169295d4.wav,६ विवाह आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e78e280a10.wav,६ सय वर्षअघि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7659554f9.wav,८९ औँ सर्वकालीन महत्त्व
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e76aac231d.wav,ॐ अस्पताल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7acf5e998.wav,अगाडि आउनका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e787181c61.wav,अग्ला चट्टानहरूले घेरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7599b3177.wav,अझ कहीँकहीँ त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7155fe902.wav,अझै थपिँदै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7bbb7511f.wav,अञ्चल अथवा प्रकाश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e741ad2837.wav,अञ्चलको धनुषा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e732c5caca.wav,अधिक विस्तारित पृथ्वी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7da259663.wav,अधिकारभन्दा बढी अधिकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7d5426aea.wav,अधिकार यो संविधान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7c3b94a58.wav,अधिकांश रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7580aba69.wav,अध्यक्ष पनि हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e76433f702.wav,अध्येता अन्वेषकहरूको लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7dd810501.wav,अनावृष्टि भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7c34f5503.wav,अनिष्टकारी घटनाहरू हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7f48de1a9.wav,अनुवाद है धन्यवाद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e75ce90212.wav,अनेकौँ स्वानुभूतिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e76f5b2e75.wav,अन्तर्राष्ट्रिय श्रम सङ्गठनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e70078079c.wav,अन्तिम क्षणहरूको लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7bc64d4e6.wav,अन्य दुई हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7e01a0925.wav,अन्य निजी पार्टीहरूद्वारा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7d522dda2.wav,अभिरुचि राख्‍ने परियार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7912ca003.wav,अमरगढीको काखमा रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7dd075cb9.wav,अम्पायरहरूको प्यानल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7de81b573.wav,अरब वर्ष पहिले कार्बोनिफेरस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7e0edf5c3.wav,अरूको तुलनामा सिन्दुरको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7c7f4cdf5.wav,असर पर्नेगरी त्यस्तो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7667dd41d.wav,असाध्यै दुखी छु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e72a08b314.wav,अस्पताल वा चिकित्सालय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e717538b28.wav,आउँदो दशकमा निर्माण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7fdeaed25.wav,आकर्षित गर्नमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7c3b7d07b.wav,आक्रमण गर्नुअगाडि भित्र्याउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e75ba41b8c.wav,आत्महत्या नै सही
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e74cdf064b.wav,आदि मिसाएर बनाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e7\processed_wav\e7e8fb9c38.wav,आधुनिक नेपालको
