path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4d288e607.wav,११ झारलको सिकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4dbbc0b7a.wav,११ नोभेम्बर १९७५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4555a329f.wav,१२ दिन जति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4ef2de91f.wav,१२ दिनमै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4e5b6db08.wav,१५ गतेदेखि असारको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4e5953bdb.wav,१९६७ भारतमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f44e2f1567.wav,१९९८ सालमा पुष्पलाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c17dd4af.wav,१ मा पुग्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f47ab86ee3.wav,२००७ सम्म प्रधानमन्त्रीका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4d74024ca.wav,२०११ डिसेम्बर १९का
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f444762201.wav,२० जुलाई २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f475e70b87.wav,३००० जानाको सानो टोली थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f42cf9a2b2.wav,४० वर्ष छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c036394b.wav,५ १५ मा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4fb3a8f50.wav,६२ वर्गमिटर जग्गा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f40142e8cc.wav,अघि बढ्ने हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4ce9e2fbe.wav,अङ्क लेखेर आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4b818fb8c.wav,अड्डा र रयल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f41eacb716.wav,अति आवश्यक छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f472f99e3f.wav,अथवा भालाको टुप्पो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f45b2c1350.wav,अधिक हुनु स्वाभाविक छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c077d205.wav,अनि कोमल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4d54dbc88.wav,अनुराधा नक्षत्र हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4a8ea6b4e.wav,अन्तर्गतमा पर्दैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4cefcc89f.wav,अन्तर्देशीय नौकायन संस्थान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f43e3841bd.wav,अन्य प्रतिबन्धित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f41b5dcc0c.wav,अन्य विकिमा पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f425bc0615.wav,अपनाए जापानी विदेशमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f485a99aeb.wav,अपलोड गर्न खोजेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4af0cd48b.wav,अफ्रिकी मुलकै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4f1cd98a9.wav,अभियोगमा पक्राउ भई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f498986627.wav,अरुलाई घृणा गर्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4f778b0b1.wav,अर्को प्रस्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4ac233914.wav,अर्जुनलाई बध गर्नुभएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f45ab6c30b.wav,अवस्था ठोस तरल र ग्याँसमध्ये
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f47c745efa.wav,अवस्थामा उक्त अङ्क
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f48d1999f5.wav,अवस्थित एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4cb01e33a.wav,असममा गोलपाडा जिल्ला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f48b4ae345.wav,अस्ट्रेलियामा पहिलो पटक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f47b95c7f9.wav,अस्ट्रेलियाली जनतालाई निर्णय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f49b9123a7.wav,अहिंसा हुन सक्दैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4481be0f7.wav,आएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f423981f8b.wav,आकाश भैरवको मूर्ति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4d9f46ef6.wav,आदिवासीहरूको जनसङ्ख्या घटेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4e6ddc5ca.wav,आधुनिक खेलहरूका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f48710a0e9.wav,आध्यात्मिक ज्ञानको रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c72fe602.wav,आन जानेवालहरूमा कडा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f48a28cf72.wav,आन्तरिक कडी देखाउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f472982f93.wav,आन्तरिक पर्यटकमा पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f47abc5b82.wav,आन्दोलनमा समाहित भएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c155a668.wav,आफू इतिहासमा जागरुक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f48e789f12.wav,आफ्ना पिताका अनेक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f43bdb02e4.wav,आफ्नै विशेषता छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f48d7d1741.wav,आफ्नो अवलोकनहरूको पुष्टिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f450d0dc89.wav,आफ्नो आधिपत्य कायम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f40f498e4a.wav,आफ्नो घर घरवरिपरिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4b3a3c0fa.wav,आफ्नो मन वचन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4e9cae060.wav,आफ्नो विशिष्ट प्रयोजन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4211fb78c.wav,आमन्त्रित गरिएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4688aa9fa.wav,आमरण अनसनसँग जोड्नका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f45324ed54.wav,आम सर्वसाधारण नेपालीलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f42029d19b.wav,आरोप लागेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f49b409344.wav,आवरण खैरो रङ्गको हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c365b053.wav,इटाली जर्मनी बेलायत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f4\processed_wav\f4c599727d.wav,इप्लिमेन्ट एन्ड मेथड्स
