path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d10461462.wav,११२ लाख सवारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d41c3485c.wav,१४ फागुन दाइजो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d0ed63c47.wav,१८८७ २३ मार्चमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d6721d1e8.wav,१९५९ अगस्टमा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d74d32e7b.wav,२०१७ सालतिर योगी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3da524929e.wav,२०३२ सालतिरै अघि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d25b54c37.wav,२०३६ सालको जनमत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d8b7514a9.wav,२०४६ साल चैत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d55d3fbfb.wav,२०५७ पुस ५ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d7c35d491.wav,२४ वर्षमा उनीहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d452d0421.wav,२५० वटा भन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3ddf7c84e9.wav,२७ गते पोखरामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_3\asr_nepali\data\3d\processed_wav\3d988fff0c.wav,२ लाख ९९ हजार
