path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c3b5fab5f.wav,०३६ देखि राजनीति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c89afe249.wav,१० औँ शताब्दीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cd1a0533d.wav,१४ वर्षको तेरो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cf2565f73.wav,१८३ पोखरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c66e9c4c6.wav,१९६० का दशकका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cd40f8725.wav,१९६४ को जुन ११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c46787c58.wav,१९९४ मा बनाउन भ्याए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4b3bba4b.wav,१ ठ्याक बराबर १ अङ्क
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4737d2b2.wav,२०१३मा प्रकाशित भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4734f7c1.wav,२०४९ साल वैशाख
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cbca036ce.wav,अग्निवेश जस्तै कहलिएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c3107863f.wav,अझ लम्ब्याउँदै गयो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c6def0b46.wav,अझै सेलाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4c26b652.wav,अञ्चलको पर्वत जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c31e0d0d8.wav,अटेका लेखहरू मैले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c683f9e9e.wav,अध्यक्ष पंकज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c8c5c58f3.wav,अध्यापक पनि हुन् उनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c7408494c.wav,अध्यायमा मेघा ऋषिले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c74b69040.wav,अनमोल र छोरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c050fcbaf.wav,अनिल कपूर भारतीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c33c87f88.wav,अनीश्वरवादी तर्कले भन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6ce9f311b7.wav,अनुमति समाप्त भएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c7d442fbb.wav,अनुसन्धान र विकास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4e47da12.wav,अन्त्यमा भने आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c5a8a4dbf.wav,अन्धविश्वास होइन भनेर हुन्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cab460f0f.wav,अन्ना हजारेको भ्रष्टाचार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6ce3f7725d.wav,अन्य १५३ जनालाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cb0644f1f.wav,अन्य थुप्रै सरकारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cac2a897c.wav,अपराध सम्झिइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4ab60915.wav,अभावमा समाजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c94af25bd.wav,अभिनय र निर्देशनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cec4779e8.wav,अरू ढोका विशेष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c31dd5801.wav,अर्कोतर्फ मेरो एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6ca07f410b.wav,अर्याल ब्राह्मणले ठकुरीहरूलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cb2efde75.wav,अवधिका जटिलताहरूसँग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c05b81af6.wav,अवस्थित एउटा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c8ec1b26d.wav,अवस्थित ऐतिहासिक तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c7a6f1630.wav,असफलताहरूलाई अपवाद मानिन्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c955483e1.wav,अस्ट्रेलियाली अर्थव्यवस्था
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c63ca4ca7.wav,अस्ट्रेलियाली सैनिकहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c4a0d741e.wav,अहिलेसम्म आधिकारिक रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c031a2873.wav,आईएसएसएनको मुख्य कार्यालयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c6654fad9.wav,आएका शब्दमा चन्द्रोदय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c8d12d1a6.wav,आगिन्चोक धादिङ जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c7d480fe6.wav,आजको भौगोलिक अवस्थाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c89f0627d.wav,आठ हप्ता पछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c3426332d.wav,आदर गरेका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6cb5cdab7c.wav,आदित्य रोय कपूर भारतीय चलचित्र क्षेत्रका एक अभिनेता हुन्।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c9114d30e.wav,आदि पर्याप्त मात्रामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c67fbd121.wav,आदि सबै विभाग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6ccc865453.wav,आधिकारिक रहेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c342a4392.wav,आन्ध्र विश्वविद्यालय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6c\processed_wav\6c87286e82.wav,आपूर्ति मन्त्रालय अघि
