path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d08f9bbb1.wav,०५३ सालको गठवन्धन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7dbc8c5550.wav,१००० मानिसहरूको को
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d85ed3ca0.wav,१० तल्ला अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d5d0d4b31.wav,१० शालिग्राम नेपाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d36e717de.wav,१८२४ सम्म नेपालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d316be6e5.wav,१८८३ देखि १९२३ सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d9ca16f38.wav,१८८७ मा लेखिएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d1e50dd10.wav,१९०१ मा पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7dd5131c9f.wav,१९९४ देखि १९९९ सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d52d425f3.wav,१ सय वर्षभन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7daf93357c.wav,२०३२ सालदेखि लोक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d51aa8156.wav,३४ निम्न माध्यमिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d56ea2dc5.wav,३६ वटा व्यञ्जनवर्ण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d1f075c7e.wav,४२ मिनेट उत्तरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d54c447ef.wav,६ जोडीसम्म पातहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d375dca17.wav,अक्षर राखी रोलरले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d8e6a8ef6.wav,अघि बढ्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7dfce1298d.wav,अझै निर्माणाधीन छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7df43d13ff.wav,अञ्चल कैलाली जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d938e2599.wav,अणुव्रन सन्देश एक नेपाली भाषाको पत्रिका हो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d8a46c4d0.wav,अदालतले दिल्लीको सबै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7de517153a.wav,अदृश्य भइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7da9c94e90.wav,अध्यात्मको दुनियाँमा जन्मिएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d99a31a9c.wav,अनौठो म विधवा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7dce6be2aa.wav,अन्तर्गत सञ्चालित यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d2abfbf5c.wav,अन्धराष्ट्रवादी स्थिति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7d\processed_wav\7d79c9058d.wav,अभिनयको लागि उनलाई
