path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a65511842.wav,० पनि एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ab4a54a38.wav,१० तल्ला अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a3fa28ed1.wav,१५ वर्ग किमी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a78fa9ca0.wav,१६ मे २०१३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a8202bbbf.wav,१९७८ देखि १९८७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ab0d756ee.wav,१९९२ मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a38702b35.wav,२०४७ को प्रस्तावनामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a3b5d6ebc.wav,२०७० वैशाख ३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a776290f4.wav,२५ मिटर सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ab4faccb8.wav,३१ मे १९८९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ac9fec2a3.wav,५ मिटर बराबरको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8aef98cb14.wav,६० पृष्ठको उक्त पुस्तक नक्साल भगवती नजिकै पशुपति छापाखानामा १ हजारप्रति छापिएको थियो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a71ad88ea.wav,६६ वर्षको अन्तरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a4845cce3.wav,९६ प्रतिशत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a5d6f031f.wav,अकर्मको गाथाहरू भनिएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8aeabc8839.wav,अख्तियारी दिएको हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ad7fb7efe.wav,अघि लाग्नुपर्ने एवं
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a6cbd2f15.wav,अड्डाको एक परमाणु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a3647bb72.wav,अदृश्य भइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a62b77b96.wav,अधिक गहिरा छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ab02b2dcd.wav,अध्यक्ष सहित संसदीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8afd92663a.wav,अनुसन्धान प्रतिवेदनहरू शोधप्रबन्ध
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a0fe45efc.wav,अनुसार आफ्नो बाजेले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a3051b832.wav,अन्जानमा गरेका क्रियाहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ace152d54.wav,अन्तिम निरङ्कुश गवर्नरका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8ac28f7336.wav,अन्त्यमा पुच्छारमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a39700049.wav,अन्य सबैजना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a1a0b9fe8.wav,अपराध घोषित गर्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8aded179c1.wav,अमरगढीको काखमा रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a3a0d497e.wav,अमरपुर सिरास टुनिपाला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a443e38de.wav,अर्को टावर गर्दै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8a\processed_wav\8a94fdc46b.wav,अवकाश लिएपछि
