path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9925f700bb.wav,११५६५ मा बनाइएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\996d6569aa.wav,१९९७ मा त्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\999c08d66f.wav,२०११ आइसिसी वर्ल्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99178cb791.wav,२०१८ सालमा प्रधानपञ्च
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\991d4116b8.wav,२०४२ सालदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\992c8aef79.wav,२०६१ सालमा राजाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\995c00eb81.wav,२०६९ को शुभकामना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99a759d84a.wav,२७ दशमलव २
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99e9fb0be8.wav,२८ रनको जित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\990efdff24.wav,२ को जनसङ्ख्या छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\993abc780e.wav,४९ छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99472127b5.wav,४ पाउ विधि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99e047ceb5.wav,५२ र महिला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9913ec5f97.wav,अक्षर होइन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99039b8542.wav,अङ्ग्रेजहरूको अधीन भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99a6406506.wav,अझ बढी प्रभावकारिता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99b3b03261.wav,अत यस सम्बन्धी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99029b79eb.wav,अदालतले फैसला गरेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9986920dff.wav,अनियमित २०२८ कार्तिकमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99c9e28fbf.wav,अनिवार्य सैनिक सेवा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99ef97fe13.wav,अनेक फारसी संस्कृतिबाट जोडिएका चित्रहरूलाई आफ्नो दरबारका देवलहरूमा पनि बनाए।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99556b15ac.wav,अन्तत चिनीया सैनिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\993fe7615a.wav,अपकृत्य विधिको सामान्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99d9385805.wav,अपनाउन चाहन्थे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99d37dbadc.wav,अप्रिल ४ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9900194d26.wav,अब हाम्रो काँधमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9957a1f81d.wav,अभिग्रहण सिद्धान्तहरूको आलोचनाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\992d513d12.wav,अभिनय गरेबापत भारतको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9902113adf.wav,अभियान अन्तर्गत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\996140e94d.wav,अरू बालकहरू पढेनन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9990ff18a4.wav,अर्काको रिस गरेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99b4af8382.wav,अर्को प्रयोकर्तालाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\99057225fe.wav,अर्पण गर्नुपर्‍यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\990c9c72af.wav,अल्लाह सबैभन्दा महान् छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9956e6af98.wav,अवकाश लियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9900d3db4f.wav,अवस्था थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_9\asr_nepali\data\99\processed_wav\9926600838.wav,अवस्थित गाविस हो
