path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a94a7fa22e.wav,१० पाउन्ड बढ्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9860c9702.wav,१० मे २०१० मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9627edde4.wav,१० वर्षका समयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9825bacda.wav,१४८ बैशाख पूर्णिमामै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9b41353a7.wav,१६९ले सृजना गरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9dc8bf947.wav,१६ जनालाई पहिलोपटक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a973abf80e.wav,१८९५मा कश्मिर क्षेत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a97f737cc5.wav,१९५० का दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a96c1866b0.wav,१९७८ को अक्टोबर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9d7dfce77.wav,२०१२ युटिसी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a920d261e6.wav,२०३८ सालमा पाँच
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a905d3066b.wav,२०३९ सालमा स्थापित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a910760b67.wav,२०४९ दोश्रो संसोधन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a9\processed_wav\a9d938a4d2.wav,२०५४ मा जिल्ला
