path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b84ea6a7f2.wav,१२ को पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8d659895b.wav,१८६९ सालमा एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8715f3fc7.wav,१९९१ मा अन्ना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b83617029e.wav,१ स्थानमा छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b80aeb657e.wav,२०१७ साल पौष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b85bbcd41a.wav,४० इन्च र देशान्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b83bb61181.wav,४१ नयाँ नगरपालिका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b894e62080.wav,५४ छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b82a417567.wav,६ जनवरी २००५ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8ffc165fe.wav,अघिको उत्खनन कार्यबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b833c86243.wav,अङ्ग्रेजी नामको नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b87ba852d8.wav,अछाम बझाङ बाजुरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b854050f75.wav,अझै सरकारले यस्तो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b86a904589.wav,अति लघु काव्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b86e5591c6.wav,अथवा सामानमा मानिस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8a6f4d0ce.wav,अधिकार प्रदान गर्‍यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8913cb694.wav,अधिकांश हिमाली र पूर्वी पहाडका जिल्लामा जनसङ्ख्या घटेको र तराईका बढेको पाइएको छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b85bf920e9.wav,अध्यक्ष पदबाट त्यागपत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8d1a06e16.wav,अन सन् १९८४मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8b1a2944b.wav,अनि उनीहरूको यथावत्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b80da8028e.wav,अनिवार्य बन्देज लगायो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b88af7cff4.wav,अनुसन्धानको उत्तम थलोका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8231e218c.wav,अनुसार नै वर्गसङ्ख्या
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8b7b24932.wav,अनुसार विभिन्न क्षेत्रमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8603c6e41.wav,अनेकौँ स्वानुभूतिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8307d0bc7.wav,अन्त्य गरी गणतन्त्रको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8917ef3ed.wav,अन्य थुनुवा जेलर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b881841acb.wav,अपलोड गर्न सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b861dba779.wav,अपेक्षाकृत कम खर्चका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8c81ededb.wav,अफ्रिका एक महादेश हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b824b7570e.wav,अभाव हुँदा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b812927291.wav,अमर कल्याण उच्च
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b846be64bb.wav,अमिताभ हरिवंश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b886a98463.wav,अरबाह उपत्यकाको पूर्वी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8014ec9c7.wav,अर्को नेपाली पुराण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8f89a6988.wav,अवस्थित थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b800d6a9a2.wav,असर कस्तो पर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b848386090.wav,असुविद्या र चैनपुर क्षेत्रमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b81214df17.wav,असोजदेखि चैतसम्मको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8a5ebd615.wav,अस्ट्रेलियाकी साम्राज्ञीका रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b83a21b32b.wav,अस्ट्रेलियामा आफ्ना कारखानाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8ce5cc2e8.wav,अस्पताल जानुहोस्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8d5bd5237.wav,अहिलेसम्मको सबैभन्दा ठूलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8942fb373.wav,आएमा फुकुवा जनाउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b83f39ddb8.wav,आगो बन्नका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b89aa05e15.wav,आदर्शवाणी एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8b62940cd.wav,आदिवासी जनजातिको जातीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8d88ad709.wav,आधार मानेर भएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8eae9e970.wav,आधारमा राज्यको संरचनामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8380ec1f7.wav,आधुनिक समयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8d53d39b1.wav,आफूले गरेको परिश्रमको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8fd10ffef.wav,आफ्नो कपिराइट हैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b874008740.wav,आफ्नो लग्नअनुकूल हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b80a92b55d.wav,आफ्नो व्यक्तित्वको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b8\processed_wav\b8d467db9b.wav,आयुर्वेदका अनुसार
