path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c56447b972.wav,१८ अरब १८०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c50920077c.wav,१९३० मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c5aefbd251.wav,१९८२ मा सात वर्षको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c54e7ce632.wav,१९९२मा ग्रीष्मकालीन खेलको तयारीको क्रममा माथिल्लो भागमा दुई पङ्क्ति कुर्सीहरू थपियो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c51e862739.wav,१९ मा बिना अक्सिजन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c595069bcd.wav,१ को पोर्टलको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c5a5095898.wav,२००७ सम्म बसे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c5259d63d7.wav,२०२४ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c54093dabb.wav,२०५१ साल देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c54a151277.wav,२०५३ सालमा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c57eae8241.wav,२३ अगस्ट २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c5e8c8e08c.wav,२९ मिनेट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c50423b05a.wav,२ हुनेछ जब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c5\processed_wav\c5a3e96fc8.wav,३१ मार्च १७२७
