path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\cebe479832.wav,१२८ करोड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ceab9f9c2c.wav,१५० ग्रामदेखि ५००
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce2a8ebdd9.wav,१५ गते बसेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\cec890751a.wav,१ चम्चा कालो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce7e80c035.wav,२०१२ सालमा मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\cedf3e61b9.wav,२०५६ २०६० २०६८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce49a6786f.wav,२०६९को हार्दिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce9ae8e606.wav,२०६९को हार्दिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ced0d1448a.wav,२५ मि ८ फिट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\cec4e31dd5.wav,३४ करोड अतिरिक्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\cef1d11508.wav,५२ प्रतिशत छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce35ff3d53.wav,८७२ वर्गकिलोमिटर छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce83018914.wav,अगाडि हालको काभ्रे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce1e9e0de6.wav,अञ्चल ओखलढुङ्गा जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce5cbdacb1.wav,अञ्चलको चितवन जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce38f4fa96.wav,अञ्चलको पहाडी क्षेत्रको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce84a7ac24.wav,अड्याइएको हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\ce\processed_wav\ce7ad273a9.wav,अथवा चिन्दछन्
