path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8b3ec3380.wav,११ डिसेम्बर २००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d88f9106c6.wav,१९९८ मा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d87688fad1.wav,२००९ को हि इज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8702ebc08.wav,२०१८ असारमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8ff9d8b59.wav,२०२० वैशाखमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d851b492a8.wav,२०२० वैशाखमा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d80d196068.wav,२०३९ सालदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d874d8ea4a.wav,२०४५ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8f2747801.wav,२३ पटक ओठमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8efcc0527.wav,२५ अप्रैल सन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8d5a117a6.wav,२९ जुलाई २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d80260abee.wav,३० गते भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8f49a3bc6.wav,८ औँ शताब्दीका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d899785a37.wav,अचम्म त के छ भने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8995315dc.wav,अचेल यस खेलको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8e99d08b1.wav,अटाउने क्षमता मेरो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8e3db1905.wav,अत्यन्त साना कणहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d812f12c36.wav,अधिकारीद्वारा भएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8554d5ffd.wav,अधिकांश अस्ट्रेलियाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8d6f02896.wav,अधिकांश किराँत भाषामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d80a1abbb9.wav,अनिवार्य भने होइन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d868f9166d.wav,अनुसार ईश्वर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8921883a8.wav,अनुहारसँग के न के
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8cb690434.wav,अनेक प्रकारका तथ्यहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d83925d447.wav,अन्तिम विकल्पका रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8a74e2a6b.wav,अन्धकारको रूपमा लिनुहुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d85c1adb19.wav,अन्य क्षेत्रमाथि आक्रमण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8750845c5.wav,अन्य पक्षका आधारमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d893094093.wav,अपकृत्यको चरित्र गुमाउँछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8ab470d8a.wav,अब मैले सुधारेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8da438c2f.wav,अभिनेतासँग हुन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8e2ea5104.wav,अरनिको यातायात सेवा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d863805017.wav,अरु असल योगहरूबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d874415ab1.wav,अरूण खोला गिरवारी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8510cee01.wav,अर्कालाई लेख्ने पत्रहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d8c97b4910.wav,अर्को कुरा दैलेख
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d8\processed_wav\d851709d9a.wav,अवस्था थियो
