path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e023d15a5d.wav,१० १५ दिन खानाले पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0a3284dd8.wav,१२५ मेगावाट छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0f8723fce.wav,१९७२ अगस्ट १२ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0da126ddc.wav,१९८५ देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e093d87c1b.wav,१९९१ मा अन्ना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0596c8de5.wav,२००० सालमा शारदामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0684dd0bb.wav,२००६ मा पञ्चायती
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e039d33ff2.wav,२००७ साल सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e06224f5dc.wav,२०११ आइसिसी वर्ल्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0172e07b8.wav,२०२७२८ सालतिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0e2d252d7.wav,२०४७ बैशाखदेखि अङ्ग्रेजी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e065f3144c.wav,२०६४ को दफा ५३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0b30276da.wav,२० मेगावाट छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e09e7b12ca.wav,२२ नोभेम्बर २०११
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e07c2aea36.wav,३० देखि ४५ सेन्टिमिटर अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e087c0b3e5.wav,३५० भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0c77fcc38.wav,३ को प्रदर्शनपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e072654695.wav,४२ मिनेट उत्तरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e09432fd04.wav,५५ मिटर छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0b7aee59d.wav,८ पृष्ठमा प्रकाशन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e006213d76.wav,८ मा पर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e04c285d65.wav,अघिल्लो कडी बजाए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e00f059e66.wav,अङ्ग्रेजीमा यसलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0a9ed3bf1.wav,अझ सिक्नु पर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e0\processed_wav\e0f75acf9e.wav,अझै पाउन सकेको
