path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1c0ad8aec.wav,१० किलोमिटर पूर्व
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1fbd1c801.wav,१० जुन २०१०मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f13b715e46.wav,११८ प्रतिशत अधिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f147e6b8ae.wav,१२ ज्यानै लिने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1d46468af.wav,१५ केजि प्रतिघनमिटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1af2539d2.wav,१५ देखि १९ वर्षको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f13a29b716.wav,१९२६ ईमा उनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1849f6d80.wav,२००८ को अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f155d46d28.wav,२०१२ देखि नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f137ad53fd.wav,२० जुलाई २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f18c7f6bae.wav,२१ नोभेम्बर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f10334f46a.wav,३० दिनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1c0b2410e.wav,३० वर्ष काम गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1f728877a.wav,३३ सालको विपीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f194cd4a94.wav,३ सय ६५ दिनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1999151ea.wav,अचेल पनि तरवारबाजी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1bac96b18.wav,अठोट गरेका प्रमुख
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f164ba5198.wav,अथवा सर्वोच्च मानिने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f198127073.wav,अधिवेशन पटनामा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1da5358bd.wav,अनि उनीहरूको यथावत्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1e085c771.wav,अनियमित २०२६ चैत्रमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1fbc6a0af.wav,अनुमान हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f108976c3e.wav,अनुवाद गरेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1893d73ae.wav,अनौठो हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f197ed4a28.wav,अन्जनले राजपुरोहित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f19f9927cb.wav,अन्तरिक्षीय अभियान्त्रिकी वा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f14d3fac0f.wav,अन्तरिम कालमा माओवादी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f16f0c1320.wav,अन्य भाषा परिवारको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1af8f48c9.wav,अन्य सम्मानको विपरीत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1f07cfbef.wav,अन्य सिजनलाई सामान्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f144d86786.wav,अपूर्ण लेख श्रेणीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f18110dc55.wav,अप्लाइड कलेज अफ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1887e9528.wav,अभिनेत्री हुँदै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1d182a7cd.wav,अमेरिकी सेना फिर्तीपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1c8bc6854.wav,अरू फुलभन्दा भिन्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1daef92a2.wav,अर्को प्रयोगकर्ताले त्यसलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1ba801cae.wav,अर्धवार्षिक रूपमा हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1799728d9.wav,अलग राखे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f12dfe545b.wav,अवलोकन गर्न सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f1bf8db0a4.wav,अवस्थित हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\f1\processed_wav\f12485f412.wav,असत्य आदि सबै
