path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1bdb852f98.wav,११ वडामा विभाजित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b37c3a40b.wav,१२ एवं २९ श्लोक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b754889b9.wav,१६ गतेसम्म सूर्यले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b4ff386c5.wav,१९४४ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1bfbc005d9.wav,१९९२ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1ba1bf25f0.wav,१ देखि हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1ba772debd.wav,२००० सालमा शारदामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1bb55af946.wav,२०४६ सालको आन्दोलनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b2c290750.wav,२०५३ सालमा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b683ef780.wav,२० हावामा सास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b3bc34ed4.wav,२ रूपैयाँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1b259c2cd9.wav,३ छोरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1ba7dacbed.wav,३ तथा अजय लालचेताले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1bc0ed6301.wav,अगस्ट १८ सन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1bd9eacadc.wav,अगाडि उभिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_1\asr_nepali\data\1b\processed_wav\1bd5634d8a.wav,अघिल्लो दिन पूजाआजा
