path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\481fae1f20.wav,१० सेमि पानी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4810104ba0.wav,१२ पास गरेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4876a8d120.wav,१५ नोभेम्बर १९६७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48884777a2.wav,१८३३ मा जर्ज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4804928f0d.wav,१९औँ शताब्दीमा यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48823535d0.wav,१ अन्तर्राष्ट्रिय श्रम कार्यालयको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48de16cd92.wav,२०३० सालको दशकमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48cfc30b3b.wav,२०४६ सालदेखि विद्यार्थी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4893c4d0b5.wav,२०५३ माघ १ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4805e4d1e2.wav,२०५५ सालमा अवकाश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48df6ab0e4.wav,२०६१ वैशाखदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4832f84344.wav,२० पौन्ड छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48eb8c745c.wav,२६ वर्षीय कपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\480708f4c1.wav,६० गुणहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4845af8122.wav,८३ प्रतिशत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48460707d5.wav,अक्षर छाप्ने टाइप
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4815e23204.wav,अग्ला चट्टानहरूले घेरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\485e73db92.wav,अघि बढाउनुभएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48603584d3.wav,अघिल्लो चरणका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\484b2385e5.wav,अङ्कित गरिएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\484891496f.wav,अछाम बझाङ बाजुरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48b8c3bb09.wav,अञ्चलको रौतहट जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\487c9c041c.wav,अधिकृत हुनुहुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48622abc90.wav,अध्ययन गरिन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\488c1023e2.wav,अनमोल हुन्छ सम्पूर्ण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48c6ed8f23.wav,अनुमोदनहरू र परित्यागका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48076b3865.wav,अनुरोध गरिन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\483cf6c681.wav,अन्य थुप्रै पुस्तकसमेत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48ad13de4e.wav,अपनाउनेहरू पनि छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48640c5790.wav,अपिल गरेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\4884fb267c.wav,अब म बिस्तारै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48ee03fce5.wav,अमोढा उत्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48fffd71d1.wav,अरू बालकहरू पढेनन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48ec7559d3.wav,अर्थको ज्ञान सम्भव छैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48cd497e35.wav,अर्थ हुन्छ यस्तो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_4\asr_nepali\data\48\processed_wav\48f97db702.wav,अहिलेसम्म पनि भक्तपुरको
