path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53d0cb0d34.wav,१२ तारिखका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\531079b57c.wav,१७ सबैभन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53282a7ef5.wav,१९ पुस्ता भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53ad7b4b8c.wav,२००७ मा ब्यारिमोर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53944f6592.wav,२०२२ साल पुस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53261ee660.wav,२०२६ सालमा हिम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\537b940af8.wav,२०४६ भदौ २
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\5310a7e442.wav,२१ मे १९७९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\5311b3eed7.wav,२३ मार्चमा हुने गर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\5300990b05.wav,२ अहिंसा अणुव्रत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53f1e6af72.wav,३ त्यसपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\537a44e401.wav,४४ प्रतिशतले बढेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53c558ca43.wav,४ अर्ब भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53e981bce0.wav,४ विद्याकुमारी पाण्डेले लेखेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\5310a71a6e.wav,९६ वर्ग किलोमिटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53561ed29a.wav,अगाडि रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\531828e396.wav,अग्लुङ बाझकटेरी पुकोट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\534e0269e2.wav,अग्लो सुनको वेदी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\534f960d31.wav,अघोष कण्ठ्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53d0905d4d.wav,अङ्क पुस्तकको क्रमाङ्क हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\5330d5c747.wav,अड्डाको एक परमाणु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53992c546d.wav,अत्याचारको पनि लामो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\535506b878.wav,अधिक जटिल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53d5c0ac14.wav,अधिक मत प्राप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\539982fdb9.wav,अधिक मनोहर हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\5396a629f8.wav,अनि बाँकी नेपालीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\53\processed_wav\53a46a0a13.wav,अनेक विधानलाई पारित गरे
