path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5dcc799752.wav,१२ १४ घण्टा चल्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5de7b1d653.wav,१९०७ सम्म प्रशान्तदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d2d8638e6.wav,१९८९ देखि नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d9a0fe6a8.wav,१ मित्रभेद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d1938842a.wav,२००३ मा टर्मिनेटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d83c39177.wav,२००५ साल वैशाखमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d0fc58eca.wav,२०४६ सालमा सम्पन्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5db5b238c3.wav,२०५० को दशक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d6b7e3004.wav,२०५१ सालको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d516b27a5.wav,२०५८ को जनगणनाअनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5dc0d0da9f.wav,२०६७ माघ २४
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d0ecad31f.wav,२१ छिटो पौडिने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d0bdd30c3.wav,२७ सूचनाको हक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5da02baad3.wav,२ पद्म अर्थात्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d49d9e544.wav,३० दिनपछि एमजिएमले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d6a688444.wav,३ तिब्बती मान्छेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5de38bf907.wav,३ पश्चिमाञ्चल विकास क्षेत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d5cdd8bbb.wav,३ सम्बन्धित जनताका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d31918ceb.wav,४०० ईशापूर्व मान्नुपर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5deb602923.wav,५४ वटासम्म गाउँहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d9041fc65.wav,अत हामीले पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5ddef87673.wav,अतिउत्तम मानिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d4c31790e.wav,अथवा भालाको टुप्पो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5dfd8db6a4.wav,अधिकारका लागि एउटा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d144eb56b.wav,अधिकारी किरण बेदी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d0f132196.wav,अनन्य प्रेमिका मान्थे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d6b3ab9ba.wav,अनुमतिपत्र चाहिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d1f9f4be4.wav,अनुविभाग हुनु पर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d1ea7da96.wav,अन्यत्र सम्पादन नगर्नुहोला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5d78cdf04a.wav,अन्याय मानिन्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_5\asr_nepali\data\5d\processed_wav\5def5e49ed.wav,अपराध सम्झिइन्छ
