path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6acb1beda4.wav,१२५ वर्षअघि नेपाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a926c3f85.wav,१२ चम्चा तुलसीको गेडा आधा ग्लास पानीमा बेलुका भिजाएर बिहान खाने गरेमा ठिक हुन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a032dcafa.wav,१६ औँ शताब्दीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a60c724e0.wav,१९२० ईमा जब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a71e494fe.wav,१९५८ मा भएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a6c1ebeb4.wav,१९९२ सम्म विश्वमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a4d33cce0.wav,१ देखि १० सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6ad39ab160.wav,२००७ मा २४
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6aabf6779f.wav,२००९मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6ac875be4c.wav,२०१० सालमा गठित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a79eff83c.wav,२०२४ मार्गमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a8b14d9b7.wav,२०२७ साल फागुनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a5c791868.wav,२०४९ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a9bf27918.wav,२१ मार्च २०१० लाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a4c5e25ed.wav,२३ पटक ओठमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a5b970c08.wav,२३ मार्च २०११ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a82e66e48.wav,२ मध्यमाञ्चल विकास क्षेत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6af5f787e1.wav,५२२ वेधशालाहरूका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a52cdba1b.wav,९० महिलाहरूको लिङ्ग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_6\asr_nepali\data\6a\processed_wav\6a871ffbe4.wav,अकुत सम्पत्ति छ
