path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c582b728b.wav,१४ औं शिखरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cd4b23ffd.wav,१६ मा ऋषिकेश सत्रमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c87811cab.wav,१७ वटा इलाका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c09213dd2.wav,१९९० को दशकमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c1d436ccb.wav,१ लाख रूपैया
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cf80e5eba.wav,२००१ मा ओपन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7ca8a29db9.wav,२००८ मा समाप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c89cd46cf.wav,२०१७ साल पौष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c40390c2e.wav,२०४८ सालदेखि राजनीतिमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c3804c749.wav,२१ मे १९७९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cdf328dd4.wav,३ मे १९७२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cd3c1269d.wav,६० माइलदेखि माथि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c636793a4.wav,अञ्चलको सिन्धुपाल्चोक जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cfd7bed2e.wav,अत हामीले पनि विकिमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cc140703d.wav,अति उत्तम हुनु पर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cfbd55aea.wav,अध्ययनक्रममा उहाँ समालोचक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cee6f0755.wav,अध्ययनमा सुविधा हुन्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cae642516.wav,अन मातृभाषासँगै अङ्ग्रेजी जर्मन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c1b9d5e28.wav,अनुमोदन नगरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cfccc1995.wav,अनुरूप जारी रहनेछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cb8404039.wav,अनुरोध गर्दछु किनभने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7ce3352a92.wav,अनौपचारिक शिक्षा विद्यालय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7cb4c136b4.wav,अन्त्येष्टि सोमबार बुधबार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7c\processed_wav\7c1bc63f54.wav,अन्ना हजारेको आन्दोलनको
