path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fe7466346.wav,१२ जनाको मृत्यु भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f97296e78.wav,१२ तारिखका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f98c1297e.wav,१९६१ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f574ab5b7.wav,१सय २० प्रतिशतले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fdc75777a.wav,२००९ सालमा संशोधन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f02872a71.wav,२०१४ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f1c130510.wav,२०१८ माघ २८ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fd58d2080.wav,२३ अगस्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f22fab7f2.wav,२३ तारिखका दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f87e5fe1b.wav,२३ मा राजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f4bdf0dc3.wav,३२ हजार वर्ष हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fcb65aee1.wav,३८५ टेलिफोन सेवा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fdfd9f63e.wav,३ मेघ बर्सेर यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f7f23946f.wav,४४५ हेक्टर छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7ff0b74305.wav,६५ वर्षीय प्रसाईँले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f36f0ccfa.wav,६ महिनाको भित्र गरिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fd2b13c25.wav,अकबरको धार्मिक सहिष्णुताको नीतिले शाही प्रशासनमा सबैका लागि नोकरी र रोजगारका अवसरहरू खोली दिएका थिए।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f9eb7e25e.wav,अगाडि कसुरदार हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f03822ff5.wav,अङ्क पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fc0c1e2a1.wav,अङ्ग्रेज पल्टनको भारतीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fcef0ae60.wav,अञ्चलको गुल्मी जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f360b2603.wav,अञ्चलाधीश भएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f9a4db0fa.wav,अधिकतर सेतैसेतो देखिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fa35f541b.wav,अनुमान गरौँ आजभन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f62bac668.wav,अनुसार मेटाइनेछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fe4f75988.wav,अन्तर्राष्ट्रिय प्रतियोगितामा नेपालले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f449238ad.wav,अन्तु पोखरीको सुन्दरता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f16f39577.wav,अन्नपूर्ण फाइनान्स कम्पनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7f04f5074a.wav,अपहरण गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fdf5f2f94.wav,अप्ठ्याराहरू छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_7\asr_nepali\data\7f\processed_wav\7fde31c336.wav,अफगान शैलीमा बनाएको
