path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ebad66213.wav,१२ वर्षसम्म तप
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e5baf139f.wav,१४ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e50d84f62.wav,१९४९ मा सिकागो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ea4361680.wav,१९६० अप्रिल २५ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e7faffa41.wav,१९८३ ब्राजिलियन एउटा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e56592b99.wav,२००४ सालमा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ef5fb0cc8.wav,२००६ मा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ed6dfac56.wav,२०१०को अगस्टमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8eabfc6d69.wav,२१ वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e8f7363ce.wav,२३ अगस्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8eb91f50a1.wav,२४ अप्रिल १९९७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e5e6fe669.wav,२६ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ebe1e766b.wav,४० दिन पछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ed144c1cd.wav,४२ औँ आधिकारिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e47e3bc6a.wav,४३ वर्ष साहित्यिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e0370463c.wav,४४५ हेक्टर छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e21d194df.wav,अग्लो देवा डाँडाबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8eddafe48a.wav,अझै शोभा पाइरहेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e80eb9347.wav,अथर्ववेदका छ शाखाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e6577711a.wav,अनावश्यक लाग्यो र हटाइदिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ea6395070.wav,अन्ततः वर्तमानमा शुद्धतम मानव इन्सुलिन उपलब्ध भयो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e172f6e58.wav,अन्तरिक्ष विज्ञानलाई अन्तरिक्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ef9a2cc10.wav,अन्तिम दर्शन गर्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e8dfadc4a.wav,अन्त्य आफूले चिताएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8ebd6daffa.wav,अन्य नागरिकहरूले पाउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e739e4318.wav,अप्रिलको पहिलो दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e5ebde9c2.wav,अभिनयसँगै जोडिएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e4a9f12eb.wav,अमिताभको लागि राजको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e83b2b2f5.wav,अमेरिकाको रूपहरू लाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e6c9c50fb.wav,अमेरिकी उपन्यासकार तथा लेखक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e59253741.wav,अरबौँ किलोका परम्परागत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e46f39b2c.wav,अरूद्वारा भएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e6430d612.wav,अर्चलेबाट राजधानी आएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e439d9e67.wav,अर्थात् प्रत्येक क्षण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e6ab5e12a.wav,अलङ्कार दिनुभएकोमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e3162e66e.wav,अवस्था आउँछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_8\asr_nepali\data\8e\processed_wav\8e8f278934.wav,असमी गुजराती कन्नड
