path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a810e5816e.wav,११ बजेतिर तत्कालिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8a9ff3474.wav,११ वटा इलाका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8817e2e01.wav,१९४९ मा प्रति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8d6b8618f.wav,१९ मे २०१२ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8ec6d9543.wav,२००१ सालतिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a80fec2bb8.wav,३० वर्ष ७ महिनाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8683304e9.wav,५८ वर्ष पूर्व
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8511ccac8.wav,६५ वर्षीय बोहरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a808424493.wav,६ कोस दूरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a86a204abc.wav,अक्सफोर्ड पनि भनिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8fd65c1fa.wav,अघिल्लो साँझदेखि नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a83953fff4.wav,अघि सन् १८५० मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a89ce56bbe.wav,अङ्ग्रेज पल्टनको भारतीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a81dd4eaeb.wav,अझै खत्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8d1636193.wav,अतिरिक्त अल्मोडा र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a868bea035.wav,अधिकतर मिल्ने कुरामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8003c0109.wav,अध्यक्ष भएका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8b8398926.wav,अनगिन्ती पुरस्कार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8e0fe517d.wav,अनि नवरात्रभर यहाँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a87ca11168.wav,अनियमित रूपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8d8f9a448.wav,अन्तरवस्तुमा नै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8c0c28ba8.wav,अन्तिमतिर नेपाल आउनुभयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8e21dbe21.wav,अन्धोपन हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a86b993eaf.wav,अन्य अङ्गसँग आँखाहरूमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\a8\processed_wav\a8de484f03.wav,अपराजितामा केराउको जस्तै
