path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aac84aec22.wav,११ र १२ औँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aac094b0ee.wav,१२००सम्म रहेको मानिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aa1ddd137b.wav,१५० वर्ष लाग्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aa1f06e045.wav,१५ मिटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aadf6d0f88.wav,१७ गते गोविन्दप्रसाद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aae3ebdf6d.wav,१९४० मा दाजु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aabee966dc.wav,१ अर्ब ३१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aa8217b425.wav,२००१ मा ओपन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aa71c61eb8.wav,२००७ मा अन्तर्राष्ट्रिय स्तरका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aad2540d41.wav,२०१४ असार ३१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aa660e1a1b.wav,२बाट विजयी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aabaa7d389.wav,२ हजार २५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aaf158cc27.wav,३० फिट गहिरो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\aa\processed_wav\aadf40db52.wav,४ मिटर फराकिलो
