path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae284bf460.wav,१० पाउन्ड बढ्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae3fd4236a.wav,११ वर्षको उमेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\aed2a91bb1.wav,१२ वर्षे मकर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae9e36b83c.wav,१६० देखि अधिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\aeb3da56bc.wav,१९४९ ई‌मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\aec6e455c7.wav,१९५० का दशकमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae6f9b1679.wav,१९५९ अगस्टमा भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae62edf2b2.wav,१९९९ मा सि २
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae21f77df7.wav,२००७ उक्त कार्यक्रममा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae37577217.wav,२०४६ सालको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae7a726c8a.wav,२५० ग्राम उमालेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae38304b0f.wav,२८ गते मङ्गलबार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\ae\processed_wav\ae90b58b89.wav,६० शैयाहरू छन्
