path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af9ea7e025.wav,१३ डिसेम्बरलाई प्रबन्धन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\afb3e41398.wav,१४ गते काठमाडौँको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af89756463.wav,१५ मा भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af5a877c4d.wav,१९२७ ईमा उत्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af5c926715.wav,१९९१ को डिसेम्बरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af4e5b2ee7.wav,१९९७ को अक्टोबरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af1f11bdcd.wav,१९औं शताब्दीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\afe67a184f.wav,२००४ अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af3ea99876.wav,२०५४ सालको बैशाखदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\afe2241a2b.wav,२२ गते सरकारले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\afce916ab7.wav,२५ सेप्टेम्बर १९९२ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\afaca1979e.wav,२६ जुन २०११
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af87118ba7.wav,३० वर्षपछि पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\af09e44ffa.wav,५ मिटर अर्थात्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_a\asr_nepali\data\af\processed_wav\afe084145c.wav,६ हजार ७ सय
