path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4a9bafd4f.wav,१० औसत १९७०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4705502e9.wav,१२०६ १५२७ र पछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4f423b8a2.wav,१८६५ सम्म थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4e4bfbabb.wav,१८ वर्षसम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b42bc17914.wav,१ देखि १० सम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b424f6d086.wav,२०२० वैशाखमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b45508b579.wav,२६००० वर्ग किलोमिटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4a3f76e75.wav,३० गते भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4201e5a9b.wav,३२९ सम्म निर्वाचनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b451148ddd.wav,३८ मिनेट ३० सेकेन्ड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4652db568.wav,३ मिटरको दुरीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4f524e96a.wav,५ सेन्टिमिटर लम्बाइ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4b65d3fdf.wav,७ ओटा एसएचएस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4ad04f527.wav,८०० ग्राम चिनी राख्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4232d376a.wav,९ जना हुन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b49494a2fe.wav,अङ्कहरू पठाउन सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4c5032d76.wav,अङ्ग्रेज युद्ध हुनु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b42cdb26db.wav,अचानक के सम्झिन्छ कुन्नि नजिकैको टेबलमा बस्छ र कापीमा केही कोर्न थाल्छ।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4ae089a88.wav,अत्यन्त रमणीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b46b7d9f4f.wav,अधिक थिए यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4de28c66f.wav,अधिकार जमाए वा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b42ee907e9.wav,अधिकार व्यवस्थापन मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b469b0614d.wav,अनसन जारी रहन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b44cf6f4c6.wav,अनि केही उपाय नदेखेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4080723f3.wav,अनुमति दियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4b36fba3f.wav,अनुसार सन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b436727540.wav,अन्नपूर्ण फाइनान्स कम्पनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4f298fcb6.wav,अन्ना यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4f416e36c.wav,अन्ना हजारेले लोकपाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b440e43907.wav,अन्य व्रत छैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b4c96b3b3c.wav,अपनाइएको तथा पहिलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\b4\processed_wav\b471e21ebc.wav,अपेक्षा धेरै
