path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bad81e187e.wav,१० रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba3685fdee.wav,११ झारलको सिकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bad4eab457.wav,१२ १४ घण्टा चल्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba2ee04d63.wav,१२ औँ र १६ औँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba1c32fdc1.wav,१५०५ थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bab326e9f1.wav,१९३२ र बर्लिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba73446982.wav,१९९४ मा बनाउन भ्याए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba5a720d6d.wav,१९९५ मा भएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba6096a8ab.wav,१९९६ देखि सन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba6172e877.wav,१ प्रत्येक बालबालिकालाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba57fe48e9.wav,२०१७ ले आजीवन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba2c33cf65.wav,२०१७ सालमा पोखराबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\badf0594e4.wav,२०२९ साउनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba06e192ba.wav,२१ पटक पृथ्वी घुम्दै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba8b1ff8e2.wav,२६३४ ईस्वी पूर्वमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba1fc88b51.wav,५ अक्टोबर १९६८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baa2915aca.wav,७८ वर्ष पछिबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba10d8177d.wav,७८ वर्षसम्म यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba07cbc51a.wav,अगस्त्यको चर्चा भेटिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba25bc75c1.wav,अघि नेपालका मन्दिरहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baa6eefccf.wav,अञ्चलमा इलाम जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba34481763.wav,अत्यन्त मेधावी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba70587749.wav,अध्ययनमा अनुमान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baf11cc485.wav,अनुमोदन गरेपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba2233005f.wav,अनुष्टुप् छन्दका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba1428908e.wav,अनुसन्धान अन्वेषण आवश्यक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baa12963e1.wav,अनुसार उनले त्यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baee4d4b20.wav,अनुसार सिन्दुरमा जोडी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba959e7201.wav,अनेक पर्यटकहरुलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bae034b688.wav,अनेक रूप
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba80f8c836.wav,अन्तरिक्ष कोलोनी अनुसन्धान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba7bd312c8.wav,अन्तर्राष्ट्रिय बजार जापान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baa017a6ef.wav,अन्तर्राष्ट्रिय महिला दिवस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba0c6dcebd.wav,अन्य नगर वार्डहरूबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bae61fba57.wav,अन्वेषण गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba9beac8be.wav,अपराधीहरूको अस्ट्रेलिया निर्वासनलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baad53483f.wav,अब गर्न बाँकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baa99556b7.wav,अभियोगमा पक्राउ भई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bad5b57550.wav,अमरसिंह थापाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baa7f45d24.wav,अमेरिकन उपन्यासकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bad3f7a87b.wav,अयोध्यायमा वार्षिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba112316ea.wav,अरू कुनै औषधि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba057a7b10.wav,अर्कालाई लेख्ने पत्रहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba9b785dac.wav,अर्को शाखालाई भारतमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba2b5303b8.wav,अर्को सुझाव दिन्छु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba1f96d6aa.wav,अ स्टारकिड एल्बम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba0c80346d.wav,अस्ट्रेलियाको यात्रा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba61c33b8e.wav,आज धनका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba0cd9d6d6.wav,आदिलाई मानिन्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba34ed31a2.wav,आधारित एउट रक्षायोजनाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba4c8b2b23.wav,आन्दोलनहरू वा प्रदर्शनहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baab3f7252.wav,आफू इतिहासमा जागरुक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bac7e6ff42.wav,आफूलाई उभ्याइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bad1932aa7.wav,आफै शासन चलाउन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba98317153.wav,आफ्नो जीवनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba12ea08df.wav,आफ्नो निजी पुस्तकालय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba47febb7a.wav,आमालाई पुनर्जीवित पार्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bac439e17d.wav,आयुक्तका रूपमा एसएस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bab2546b76.wav,आर्थिक सुधारका अढाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\bae3380957.wav,इन्पुट सिस्टमलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba0bcacf3b.wav,ईपू ८५९ वा वर्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba06bcf5d5.wav,ईपू ८६० वा वर्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baff0b5a27.wav,ईपू ९६७ का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\ba0cacd69a.wav,ईसा अलेही सलामका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\ba\processed_wav\baf11632b5.wav,उक्त कार्य सम्पन्न
