path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb3b49cf31.wav,१५ वर्ग किमी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb1e25dd80.wav,१७ गते आइतबार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb957c309f.wav,१९९४ का पतझडमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb06640b2e.wav,२०४९ साल श्रावणमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbc060c517.wav,२० गतेका दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb5660ce60.wav,२३ मा बेलायतको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb211994e2.wav,४२ रहेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbd32e7267.wav,४७ को मुख्यालय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb78381f6e.wav,७ जना महिला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb552b2bda.wav,८७९ पुग्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb5047e96f.wav,९ मार्च १९८१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bba5c4659c.wav,अघिल्ला समयमा धेरै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbcb8144a1.wav,अङ्ग्रेजीमा लेख्ने नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb66e9d7c7.wav,अञ्चलको सिराहा जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb5fe2c2ec.wav,अट्न थाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbbbbc37ed.wav,अत्याधिक विश्वसनियता कायम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb928b7542.wav,अदालतमा उजुर गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbc3f10a11.wav,अध्ययन गरिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb22c33894.wav,अनि तपाईँले हस्ताक्षर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb795534d4.wav,अनि फेरि त्यही
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bba4d6ba3a.wav,अनुबन्धित गर्‍यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbef360b4f.wav,अनुभव पनि छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbf53697ff.wav,अनौठो माछाको बारेमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb1713c991.wav,अन्तर्गत हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb6005b14f.wav,अब आफ्नो जीवन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb9ad26777.wav,अमिताभले मीडियासँग पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbfb35548d.wav,अमितासित भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bbfb74151f.wav,अरबी मध्ययुगीन यात्रीहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb0fa1f685.wav,अरुलाई गरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bb\processed_wav\bb0d2f113b.wav,अर्को कुरा लेखिसकेको
