path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcf0fbc0e0.wav,१० जुन २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc456d26b2.wav,१८ औँ प्रधानमन्त्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc0254f41a.wav,१९२३ ईमा जब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc5c8350c1.wav,१९४४ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcaaff8f6f.wav,१९४९ एक स्पेनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcfea8d101.wav,१९७१ र उनीपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc110bd7ce.wav,१९ मे २०१२ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcd3e3f867.wav,१ गते घटित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc449ed7f4.wav,२०३६ सालमा जनमत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc02b4919a.wav,२०४६ र २०६२ ६३ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc9e3ced4b.wav,२०४६ सालको राजनैतिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc69f195f0.wav,२१ हजार ७७५ छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcb30c4525.wav,२४ घण्टा सेनाको पहरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc0d27b022.wav,२५ करोड अमेरिकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcabfb3362.wav,२ वर्षपछि उनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc49f879c0.wav,२ सेप्टेम्बर १९८७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc2f3ff84d.wav,३ किमि टाढा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc9ae377dc.wav,३ कोस टाढा पर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc28c2ba68.wav,४ हजार ३३८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcbade23ce.wav,७ सय ५२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc98ad9916.wav,९० प्रतिशत रोमन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc6824d454.wav,९५ भन्दा अधिकको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc2a4add1a.wav,अगाथा क्रिस्टीद्वारा लिखित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc50f40705.wav,अत्तर अगरबत्तीका सामग्री
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcc93723fa.wav,अथवा पर्थको नजिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc51c4a0a7.wav,अद्‌भूत खेल देखाउँदै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc3cf63d67.wav,अधिक मत प्राप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcca3a632a.wav,अधिकांशलाई यो कुरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcc174beab.wav,अन अ र्‍याफ्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcd7f32633.wav,अनिल गुरुङको जन्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc16749c5d.wav,अनुशंसा गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc3a1c144b.wav,अन्तर्राष्ट्रिय पर्वतीय सङ्ग्रहालयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcc9884770.wav,अन्य कोही छैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc3c427865.wav,अन्य जात्रामा जस्तै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcc6d15b4b.wav,अपलोड गर्न खोजेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc58434004.wav,अप्लिकेसन एक्सटेन्सन तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bca8ac89d5.wav,अफगानिस्तानबाट अमेरिकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc7801bbf8.wav,अब यो नामलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc33efbaf4.wav,अभिनेता तथा मोडल हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc2756a8f1.wav,अमेरिका मैदानमा उत्रियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc5f1ec5fe.wav,अरू निम्न अनुष्ठानहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcda60dd99.wav,अर्को घर पौवा हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc26ccb969.wav,अवस्थाको अन्तर्राष्ट्रिय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc746b5c3b.wav,अवस्थित कमलामाई सिन्धुली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc87f98350.wav,अस्पतालका रूपमा रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc2bc38a50.wav,अहिले केही सहयोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc8bec7faf.wav,अहिले रहेको मन्दिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc3cb06798.wav,अहिंसाको ठूलो महिमा छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc50c1b157.wav,अहिंसामा हिंसाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bccb3d2f27.wav,आउन थाल्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc1332eacf.wav,आउनुभएकी किरण यादव
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc02d42127.wav,आएका युरेनस नेप्च्युन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcbcc2ddad.wav,आज कता हरायो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcf33b37fa.wav,आदिको दबावका कारण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc53146300.wav,आदिको विकास गर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc609d17ca.wav,आधिकारिक कोष भने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc0c970a03.wav,आधुनिक नेपालको इतिहासमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc69c9c611.wav,आफ्नो फोनको रूप
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc1d6486c9.wav,आयोजनाको पावर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcb7e11c75.wav,आरम्भ गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcbf8bacd0.wav,आरम्भसम्म बदलिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc79526936.wav,आशा गरेभन्दा बढी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bcdc04091c.wav,इच्छाअनुसार कलकत्ता गएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc134a0c69.wav,इतिहास नै लेखे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc998ec8fe.wav,इन्द्रजात्राको समयमा हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc2b6c53f2.wav,इसप प्रायः सबै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc0f5b05fc.wav,इस्लामपुर मह्कुमा भारतीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc4b8914df.wav,ईपू १०१८ का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc9e2d05bd.wav,ईश्वर बरालको विवाह
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bccee72ba4.wav,ईस्ट वेस्ट बैङ्कमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc435f7dd1.wav,उक्त कार्यक्रो सफलताको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bc\processed_wav\bc6309058b.wav,उचाइ क्षेत्रमा
