path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be68e11e77.wav,१०० मिलियन हुने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be1374add8.wav,१० वटालाई प्रमुख
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be41d84efa.wav,१८६४ ईमा फ्रान्स
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\becf300f37.wav,१९५६ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bee53afa2a.wav,२००५ को शान्ति नोबेल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bea835a925.wav,२०२६ साल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bedc179f87.wav,२८ रनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be4b93a745.wav,२ सय ३७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be9a0d64fa.wav,३ त्यसपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bea8c9b04c.wav,४ मा अवस्थित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be475a636c.wav,६० शैयाहरू छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\beaa899b4f.wav,अगाडिबाटै भुरेर डाँडापोखरीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be485644d9.wav,अग्रज पोप बेनेडिक्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bedda86eba.wav,अत्याधिक अलोकप्रिय बने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be44ce709d.wav,अधिक खुसी महसुस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\becabbad94.wav,अधिकार जमाए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be3ea18b5e.wav,अधिकार पर्यटन प्रवर्धन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be1da47ca7.wav,अध्यक्ष पनि हुनुहुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bea6c56e7e.wav,अध्ययन गरेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bea67ea7f3.wav,अध्यात्मको दुनियाँमा जन्मिएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\befee8379a.wav,अनि मैले विकि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bea8362f40.wav,अनियमित २०२६ चैत्रमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\bee9abd9eb.wav,अनुगमन गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\beaf9865b8.wav,अनुसन्धानको उत्तम थलोका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be9b936b24.wav,अनुसन्धान गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be72efec26.wav,अन्तरिक्ष औपनिवेशीकरण निर्माणमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\beb53807c7.wav,अन्तर्गत पर्दछ र यहाँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be9464f1e4.wav,अन्तर्गत सञ्चालन भैरहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be4f3e0f59.wav,अन्तर्राष्ट्रिय क्रिकेट प्रतियोगितामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\be\processed_wav\be928245e5.wav,अन्य कुनै दूतका
