path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bfdb7fa764.wav,१० हजार छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf99c97011.wav,११ मा अवस्थित मनोरम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bfb2581cef.wav,१४२३ इस्वीमा गरियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf36e7fb6f.wav,१६ जनालाई पहिलोपटक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf7446d8c9.wav,१८ जुलाई २००२ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf317bd5f6.wav,१९४२मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bfbbf724b3.wav,१९५९ साउनमा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf416687b5.wav,१९६५ अगस्टमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf653b97c2.wav,२००७ मा पिपुल पत्रिकाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf74c03d14.wav,२०२८ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf83f3ec40.wav,२०३५ सालमा नेपाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_b\asr_nepali\data\bf\processed_wav\bf28e14903.wav,२० प्रतिशत
