path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c687a2e485.wav,१ लाख रूपैया
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6d1ac2599.wav,२०१७ सालको कदमपछि राजालाई साथ दिनुपर्ने उनको विचार विवादित थियो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6bfc0833b.wav,२० वर्ष नपुगी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6db57436f.wav,२३ जनालाई जन्मकैद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c64a1a5aa4.wav,३६ राष्ट्रपतिको योग्यता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6e4d04770.wav,६० अस्ट्रेलियाली आदिवासीहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6fb256381.wav,अख्तर जोया अख्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6f9293069.wav,अग्लो उठायौँ भने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c66bee8c43.wav,अछाम बैतडी डडेल्धुरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c665f9c72e.wav,अञ्चललाई ५ जिल्लाहरूमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c60b2ba309.wav,अधिकांश जनतालाई वर्षको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c676bcd4d0.wav,अधिराज्यमाथि सात पल्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c6d1ae361f.wav,अध्यक्ष मेनकाजी गुरुङले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c652e252ab.wav,अनिवार्यता थिएन।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\c6\processed_wav\c61c50f98a.wav,अनुरोध गरेका थिए
