path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccf836449c.wav,१०४५ १०६५ डोटीका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc7c8f67cf.wav,१० लाख रू लाग्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc1d1b190f.wav,१ २ ३ आदि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc7b30a9a7.wav,१८५४ मा गौसका एक छात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccc53a0e6e.wav,१९६६ ईमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccbabd995d.wav,२००५ को सर्वश्रेष्ठ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccb5660c21.wav,२०२८ सालमा प्रवेश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cccf9cfeac.wav,२०५९ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccfa099906.wav,२०६० माघ २२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccc431265a.wav,२७ वर्ष जेल जीवन बिताउँदा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc8552706a.wav,३ स्वास्थ्य उपचार प्रणालीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc5b621ada.wav,४१ मिनेटदेखि ८२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc5e15420c.wav,६० मुरी खेत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccfc09a771.wav,६ जना छोराछोरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc3234c00e.wav,७२ हजार २ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc9be568db.wav,९६ प्रतिशत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc3d2bad6a.wav,अगाडि लामो समय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc724c9968.wav,अङ्क पुस्तकको क्रमाङ्क हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccd5048b43.wav,अङ्कहरू सम्बन्धित विषयको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cca5290771.wav,अङ्ग व्यायाम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\cc20b3b98a.wav,अधिकारहरूको मान्यता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccf01e63a8.wav,अनि के हामी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cc\processed_wav\ccb4492aef.wav,अनि त्यो जैसीले
