path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd9451d8d0.wav,१९९६ मा जब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd2e443e3a.wav,२००५ मा बिते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd43e778ab.wav,२००५ सम्ममा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdfa826c8f.wav,२०४७ ले यसको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd30798500.wav,२०६६ सालमा यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd8494d48c.wav,३२ हजार वर्ष हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd09dbf9c8.wav,३३६ मिटरको उचाइमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cda9ee3650.wav,४० दिन पछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd92006ceb.wav,४० राजनैतिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd3e958a14.wav,४ घडी गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdf025636b.wav,५ को जनसङ्ख्या छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cde4e69e0e.wav,६ भूभागमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd832b4ac0.wav,९ मा अवस्थित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd234f8a94.wav,अछामी प्रत्यक्षबाट विजयी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd9f9f13f3.wav,अजीर्ण चर्मरोग सम्पूर्ण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd2cfd7957.wav,अति नै चिसो छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdd78a556c.wav,अधिकारकर्मीहरूको भातभान्सा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdab0ebf35.wav,अधिकांशलाई यो कुरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdf5d697e5.wav,अध्यक्ष नियुक्त गरिदिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdbdb760d1.wav,अध्ययन अनुसन्धान हुनु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdd6e809cb.wav,अध्ययन छोडेनन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd0d87739b.wav,अनुमति पाए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd9eb11c9b.wav,अनुरोध गरिन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd5a062342.wav,अनुसार यस गाविस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdd0d09eda.wav,अन्त्यतिर सन्यास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd1b784d10.wav,अन्नको एउटै दाना थिएन।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cdf497cf83.wav,अन्यद्वारा भएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd7f5e1216.wav,अफ्रिकी फुटबलको प्रशासन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_c\asr_nepali\data\cd\processed_wav\cd14f3bde8.wav,अभियन्ता हुन्
