path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d01c86d69d.wav,०४७ मा बाबुराम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0dcd69c79.wav,१० देखि ३ बजे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0ac0c5c8b.wav,१० वर्षको जनयुद्धमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d05109d14d.wav,१२ दिन लामो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0d573eb57.wav,१४ औं शताब्दीका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0b6d9f95d.wav,१९६९ मा बिते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d039c1e0cf.wav,१९ भएर जान्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d023354d98.wav,२००९ को तथ्याङ्क
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d06dd714b5.wav,२०३८ सालमा पाँच
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0ebb599cc.wav,२० वर्ष लाग्छन्।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0ec95f324.wav,४२ पुरुष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d099244f5a.wav,४ को बुलेटिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0197eeb82.wav,५० वटै गाउँहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d043d6b7c2.wav,६ सय २४
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d09f8d138b.wav,७० किलोमीटरसँग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0c2643873.wav,८ अङ्क प्राप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0c0931811.wav,अकबरले स्वयम् नैं
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0bcd90955.wav,अगाडि आए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d03b728757.wav,अगाडि चाल सुन्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d019196550.wav,अङ्ग्रेज पल्टनको भारतीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0010af46e.wav,अञ्चलको बाजुरा जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d03430b1a6.wav,अत्याधिक जाडोलाई सन्तुलन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d06da4b50a.wav,अद्‌भूत क्षमताले मरुभूमीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d09d463475.wav,अधिक समयसम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d02c0c420f.wav,अनुरोध गर्दै यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0d38c316d.wav,अन्जन र छोरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d027dbe033.wav,अन्तर्राष्ट्रिय बजार जापान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0c988709c.wav,अपकृत्यमा वादीलाई भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d087ed8b85.wav,अब मानौँ कि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d06b2b255b.wav,अभाव हुँदा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d04ab04eb5.wav,अमरगढीको किल्लाकै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0023e79b7.wav,अर्जेन्टिनाबाट पनि आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0472bee00.wav,अर्थ लाग्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0f6b91bbc.wav,अल्सर शरीरमा गाँठागुठी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d010ecc312.wav,अवसरहरू उपभोग गर्नेछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0a401f872.wav,अश्विनी नक्षत्र आकाश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0a49fffcd.wav,अष्टमीका दिन भव्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d03da63b62.wav,अस्थिरता उत्पन्न गराउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0dd82f090.wav,अस्वीकृत साहित्य आन्दोलन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d058f3a3b7.wav,अहिले उक्त मन्दिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d025940126.wav,आएकाले आफूलाई जनताले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d000a701bb.wav,आकाशीय वस्तुहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d09af6ea89.wav,आङदिम तेह्रथुम जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d05ddfa498.wav,आजकाल प्रयोग भइसकेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d02fcf30bc.wav,आदर्श उमावि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d012a31e50.wav,आधुनिक जापानी मार्शल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d014872938.wav,आफ्नै पेसा गर्दछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0368bda3a.wav,आफ्नै बुवाआमाको छोडपत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d09119f7da.wav,आफ्नो कार्यको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0731cefb7.wav,आफ्नो नियन्त्रणमा घुमाउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d020e0980b.wav,आफ्नो बयानको अन्त्यमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d025b403b7.wav,आफ्नो बाल्यकालको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d063a028ca.wav,आमैले अनेक तरहले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d069423ee4.wav,आयतनको परिभाषाका साथै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0682fafe9.wav,आरम्भिक चोला पहिलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d07ddd7bcc.wav,आरामशाह गद्दीमा बसेकोमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0b416cd6f.wav,आर्थिक कारोबारको औपचारिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0b79fd662.wav,आर्यन सिग्देल पहिलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d09dfad378.wav,आवरक्राफ्ट परियोजनामा काम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d02ca950ad.wav,आँखाले देख्न सक्दछौँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0f77de7a1.wav,आँधी बुलेटिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0a2dc9170.wav,इच्छुक हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0f3d22c1e.wav,इन्धनका रूपमा प्रयोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d076b111c7.wav,इमाम भनिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d09c4d1236.wav,इमामले नमाज पढ्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0209788e3.wav,इस्लाम स्वीकार गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d052f38609.wav,ईपू ९३२ ईसा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0bd5a0dec.wav,ईपू ९७० का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d04143930a.wav,ईमार्चमा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d043375a6d.wav,उत्तर पूर्वी आर्नहेम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0c4926de3.wav,उत्तरी क्षेत्रमा पर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d021beb649.wav,उदय राणा अमेरिकाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0b86bd721.wav,उनका पैताला खाएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0d97c3c2f.wav,उनको पेटमा दुखाइको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d05533f01e.wav,उनलाई दुई दर्जनजति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0e360b82a.wav,उनलाई फोन र इन्टरनेटजस्ता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0b323e732.wav,उनले त्यहाँ उपन्यासकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0f1fabb6d.wav,उनले त्यो सङ्गठनको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d08230c5d0.wav,उनले पहाड टुप्पो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0bb411941.wav,उनले रुसको मस्कोमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0dc447e4e.wav,उनी निसन्तान भएकै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d07317bdea.wav,उनी भन्थे ढुङ्गा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d07cadf642.wav,उनी समातिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0c72ec2a0.wav,उनी हाउसमा आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d0664ddf49.wav,उपचार गर्नु उचित हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d02a8499ef.wav,उपलब्ध गराउनेछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d042b12898.wav,उम्रने गर्दछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\d0\processed_wav\d06680690f.wav,उराव जातिको रहनसहनमा
