path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de4dc39a7a.wav,०३२ मा उहाँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deb92ef740.wav,१०१ दशमलब ८
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de80415d72.wav,१०७ मिसनको आरम्भ गरिन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de0ee231ca.wav,१२२४ महिला रहेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\decf19d23f.wav,१३औं शतीसम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\ded80f419e.wav,१५ मा धारा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deab2717f7.wav,१६ टन प्याज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\ded9ca772d.wav,१९७० को दशकको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de3c729072.wav,२००१ मा कार्यभार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dec70d3c29.wav,२००२ मा ब्यारिमोर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de8d4772dd.wav,२०११ लगायत धेरै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de567750ba.wav,२०१७ असोजमा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de04a4f147.wav,२० ३० दिनमा सेतो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deb4fd1883.wav,२०६७ माघ २४
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de2c01c2e9.wav,४० हजार मानिस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de5d4e5f83.wav,४३ गाउँ विकास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de4e2834ca.wav,४ घडी गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\def2156103.wav,५५ मिटर र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\ded62a2379.wav,५७ वर्षीय डा महत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de069a8ef7.wav,अग्निवेश जस्तै कहलिएका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dee5e259b5.wav,अति उर्वरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de3ba1e918.wav,अनि नम्बर प्लेट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de808eb5ed.wav,अनियमित २०२८ भदौमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\def093f301.wav,अनियमित २०२९ साउनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dea0446492.wav,अनिल गुरुङ नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de9a5a6f48.wav,अनुभूति विशेषले मलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deeb4f1840.wav,अनुसार नै यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de08e1647b.wav,अन्तर्राष्ट्रिय सीमाको निकट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\ded89cb6e7.wav,अन्धविश्वास मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de4226a8c5.wav,अन्य मन्दिरहरूको तुलनामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deeac0a306.wav,अप्रादुर्भाव अहिंसा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de71d91fbc.wav,अब आफ्नो प्रयोगकर्ता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dec9aa818e.wav,अब यो नामलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de6511649a.wav,अभिजालोको प्रयोग गरिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de6dabf792.wav,अभियानको नेतृत्व धिर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de8965483a.wav,अमर विभूति बने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de248d850c.wav,अमेरिका अफ्रिकाको सम्पूर्ण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dede5ba534.wav,अमेरिका आदि देशको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dee90d8b7f.wav,अवसर उपलब्ध गराइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dedad450b4.wav,असम्भव हुनु हुँदैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de88662692.wav,असल पुत्र जन्माउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de43dc9ec5.wav,असाधारण योद्धा थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dee2a72fe0.wav,अस्ट्रेलियाली सेनाहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de42653753.wav,अस्थायी रूपमा बसे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dea64333cc.wav,अहिले बागबजार स्थित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de35137274.wav,आग्रह गरिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de4a21f670.wav,आठ जनालाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\decfdc1498.wav,आततायी राणा शासनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deffd7c3e0.wav,आधा पट्याउने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\defc603550.wav,आधारमा त्यो शब्द
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\debc20afac.wav,आधुनिक नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de972055f1.wav,आन्दोलन सुरु गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dec415b6cd.wav,आफ्नो पालनकार अल्लाहका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de9f36c6a1.wav,आमा कान्ति राज्यलक्ष्मीदेवी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\ded3e00546.wav,आमा लालकुमारी ढुङेलका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de7548675e.wav,आरपी जोशी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de25aa33e8.wav,आल्मुनियमको घिउ तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de2b7f253b.wav,इच्छा र २ साक्षीबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dea6ba21d4.wav,ईज्जतले माथि उठ्ने छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de5856d4ec.wav,ईपू ९३५ का अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dee8f91d33.wav,उचाइमा पहाड पर्वत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dea13fca9d.wav,उचाइमा पुर्‍याई नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dec58fb85a.wav,उचाइमा पुर्‍याई नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de1132e905.wav,उचाईमा रहेको यस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dec9504054.wav,उत्प्रेक्षाहरूको प्रयोग अलङ्कार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de5762af5e.wav,उदात्त चरित्र मानवीयता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\def9f63218.wav,उद्योग एउटा नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dec5463186.wav,उनका १७ वटा बालकथासंग्रह
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de6f6ec388.wav,उनका अन्य सफल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de1b0367c2.wav,उनका जस्ता सुन्दर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de680789c4.wav,उनका नाममा मदन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dea2a9175a.wav,उनको जन्म दिन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\dea9e3f675.wav,उनको परिवार रारीखाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de6846f2c2.wav,उनको वध गर्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de4a365100.wav,उनलाई आज पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de3fcb7276.wav,उनलाई मदन भण्डारीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de9a984722.wav,उनले त्यो विश्वविद्यालयको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de31092757.wav,उनले परीक्षाको लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de040c4857.wav,उनले रानीलाई प्राप्त गर्नका लागि उनको राज्यमा आक्रमण पनि गरे।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de979e4f1e.wav,उनी एक श्रेष्ठ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\de34a1975e.wav,उनी राजनीतिक अभियान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\defa308512.wav,उनीलाई नेपालभाषा वाङ्मयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\defba030f5.wav,उपत्यकालगायत अन्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\de\processed_wav\deae15bdfc.wav,उपनिषद् संस्कृत भाषामा
