path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df96e137f8.wav,१०३ वैशाख पूर्णिमामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfa8f45c5e.wav,११३ प्रजातिका सुनगाभा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df5c9c0f5e.wav,१६ जुन १९७९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfa89ac472.wav,१९७६ पारित गर्‍यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfc929e51c.wav,१ कागज अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfce4c238b.wav,२०५८ सालको जनगणना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df138951e5.wav,२०५९ साल भदौ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df0a7360a2.wav,२३ अगस्ट २०१०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df1f87efa5.wav,२९ गते घोषणा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dff4063d97.wav,२ बजे निधन भएको हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df04d57c28.wav,२ स्वर्ण पदक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfc116b4eb.wav,३ विषयक लेखहरूमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df82f0a3b5.wav,४० प्रजाति छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df9fd02189.wav,४ जुन १९८२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfb939db87.wav,६ विवाह आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df741a31cf.wav,७२ रन जोडेका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df0f134997.wav,९ गते सिरहा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df16e398e7.wav,अत्यन्तै दर्दनाक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfc607132c.wav,अध्यक्ष बन्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df0200300f.wav,अनुष्टुप् छन्दका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df0702d0e7.wav,अनुसन्धान गर्ने पहिलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df523b4a9f.wav,अन्ततः अफगानिस्तानलाई आफूले चाहेअनुरूपको सन्धिमा हस्ताक्षर गराउन तत्कालीन भारत सफल भएको थियो।
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df162b1341.wav,अन्तरिक्ष विज्ञान एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df97f6b40b.wav,अन्तर्गत अस्ट्रेलियालाई स्वतन्त्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df851fb828.wav,अन्तर्राष्ट्रिय श्रम सङ्गठनका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfa594e731.wav,अफ्रिकामा मानवको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dff05adf22.wav,अब तपाईँ पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df4f3dfc0e.wav,अभागी नेपाली साहित्यकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df466420f4.wav,अभियान अन्तर्गत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfec9b8f02.wav,अभियानका लागि आयोजित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfc830c07e.wav,अमेरिकी नीतिअनुरूप ओबामाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df95da8607.wav,अराजकता अन्धकार परम्परागत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df0b986ecb.wav,अरू मध्ये छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df60a827bf.wav,अर्घाखाँची २ खाँडामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df2c5ce075.wav,अर्थ हुन्छ दुई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfa7a15b03.wav,अर्थात् तिमी विदुर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df02925b5b.wav,अलौकिक व्यक्तित्वका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dffaf48db2.wav,अवकाश प्राप्त गर्नमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dff7f0343d.wav,अवस्था देखेर ती
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfa46f2682.wav,अस्ट्रेलियालाई संयुक्त राज्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df843f7ac9.wav,अहिले आएर वैयाकरण
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfed743c0a.wav,अहिले प्रकोपमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df5e131b28.wav,अहिलेसम्म थाहा लागे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df94fc0745.wav,आएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfac1b70be.wav,आएको यो कर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfd94a4cc3.wav,आकर्षणको विरुद्ध एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df2ec85642.wav,आकर्षणलाई अझै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df542b5c04.wav,आगा जस्ता कलाकारहरूसँग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df5c0c0856.wav,आगामी दिन अझ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\df70a1e40b.wav,आचार्यले अध्‍ययन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_d\asr_nepali\data\df\processed_wav\dfdf212be1.wav,आदिवासी जनजाति महिला
