path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1744a91ff.wav,१० औँ शताब्दीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e18e1e17a1.wav,१० मिटर गहिरो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e13c61c9ac.wav,१० मुख्य अवतारहरूमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e158270abd.wav,१९३८ का बीच
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1cbb657e2.wav,१९६२मा युद्धको दौरान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e161bcfde1.wav,१ यो महासन्धिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1c4d414df.wav,२००५ मा बिते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e18ab82f5e.wav,२०६२ फागुन २ गतेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e138ae4218.wav,२०६४ सालको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1fed4a088.wav,२१ गते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1995952f1.wav,३२६ महिला छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e157b1fc45.wav,६ हजार ७ सय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e136f5f622.wav,अख्तर जोया अख्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1d3e9654a.wav,अगाडि आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e18294e218.wav,अगाडि बढाउनका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e19b2ed975.wav,अगाथा क्रिस्टीद्वारा लिखित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1e036979e.wav,अग्रणी रह्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1ad26e940.wav,अति आकर्षक दृश्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e16edae848.wav,अथवा कब्जा गरिएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1fb023021.wav,अधिक पाइन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1eaa00455.wav,अध्यक्ष पनि थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1f5acf22f.wav,अध्ययन २०५३ नामक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e137243552.wav,अनि त्यसलाई दुई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1fa23f3bb.wav,अनुभव भएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e18f52c41a.wav,अनुमति दिन्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1b1e188f6.wav,अनेक विधिहरू प्रचलित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1470a60da.wav,अन्तरिक्ष कोलोनी स्थान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1aebb1185.wav,अन्तर्राष्ट्रिय एड्स सम्मेलनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e13c1120dd.wav,अन्त्यतिर सन्यास
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1bc7496da.wav,अन्त्यमा डलर साटियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e117da6962.wav,अफगानीहरूको भूमि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1cce500e1.wav,अब नेपाली उमेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e16d64dd41.wav,अब मैले पहिलेकै रूपमा ल्याएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e11499e967.wav,अभाव नहोस् भनेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1705c5208.wav,अमेरिका आदि देशको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e18a058c98.wav,अरबमा लगभग २३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1bf2ce7d3.wav,अरुचिमा पनि खाना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1115f99ec.wav,अर्को विशेषता हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e140d45a8e.wav,अर्भिन्ग प्लाजा रक्सी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e116730392.wav,अल्मोदोबारको रुचि प्रयोगात्मक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e12c2ea741.wav,अवधिका जटिलताहरूसँग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e10084ba34.wav,अवस्थामा पुगेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e1adec32dc.wav,अस्तित्ववादी दर्शनको प्रस्तुति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e127166369.wav,अस्पताल समेत रहेकाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\e1\processed_wav\e162d843d2.wav,आइतबारको दिन हुन्छ
