path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ead0cc4f82.wav,११ डिसेम्बर २००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eacce73d96.wav,११ वर्षसम्म पार्टीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea57c2623a.wav,१३ मिटर अग्लो छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eac929620b.wav,१५ २० वटा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea41454a38.wav,१५ दिनसम्म भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea9046fd5c.wav,१९१४ १९१८ का
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea5d4473ec.wav,१९९३ साल मङ्सिरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea5f8f032c.wav,२०२३ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eaea26ab04.wav,२०२५ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea3cdfc3c6.wav,२०औँ शताब्दीमा पत्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea933e2cab.wav,२२ फेब्रुअरी १९८३
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea86ecf120.wav,२ किलो मिटर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea75ab6458.wav,३६९ वर्ष पुरानो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eafb28a79b.wav,३६ राष्ट्रपति तथा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea6f515671.wav,३९ लाख रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea76cdaf35.wav,४ घडी गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea413faab8.wav,५६ जङ्गली च्याउ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea6107389a.wav,७५० घरधुरीमध्ये कुल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea95bce731.wav,अक्षर राखी रोलरले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea1941bcd4.wav,अघि बढेको देखिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eaeaf7ca97.wav,अटोमेटिक टेलिफोन एक्सचेन्जको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea3c44bbcb.wav,अत्यन्त आकर्षक रोचक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea462fcecd.wav,अधिराज्यमाथि सात पल्ट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea94b6ca5a.wav,अध्ययनलाई जेम्मोलोजी भनिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea94449b5b.wav,अनुवर्णसूची अनुवर्गसूची
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eaef81979e.wav,अनुवर्णसूची अनुवर्गसूची
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea50233709.wav,अन्तरिक्ष मिसनका विज्ञान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea2a234f4e.wav,अन्तिम उपनिवेश बन्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eab5de2786.wav,अन्त्य समयमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea89e90490.wav,अन्त्येष्टि गरिने हिमाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea38219375.wav,अन्नको एउटा गेडो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eacfe1b54a.wav,अन्नपूर्ण संस्कृत नेपाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eae3486483.wav,अन्य काजहरुमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ead479432f.wav,अप्राकृतिक मैथुन भन्नाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eac13bb816.wav,अफ इलेक्ट्रिक सिप
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea5b8ab735.wav,अमेरिकन उपन्यासकार टोम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea1a125680.wav,अमेरिकी इन्टरनेट प्रबर्धक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eaf4c97ca4.wav,अरुलाई गरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea63d42152.wav,अवस्थालाई पार गर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea124f5188.wav,अवार्ड प्रदान गरेका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ead5da505a.wav,अस्ट्रेलियादेखि लगभग २
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea945acc99.wav,अस्ट्रेलियाली ग्रीष्मकालका भड्किला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\ea79d81294.wav,अस्पतालहरूका लागि अधिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ea\processed_wav\eaf789ce5d.wav,अहिंसा नै सबैभन्दा
