path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb9fce3398.wav,१२ वर्षको उमेरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb6c39a03b.wav,१४ डेटिङको प्रयोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb42285f32.wav,१९६१ मा बनेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb2fef6fce.wav,१९७३ सम्म लगातार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebe91b2916.wav,१९८८ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb2b8a910f.wav,१९ जनवरी १९९०
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb02de81d1.wav,१ करोड वर्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebc6bbddf4.wav,१ को ख मा आदिवासी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebe9957ccc.wav,२००० सालमा शारदामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb268b2735.wav,२०१७ ले आजीवन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebd73554e1.wav,२०२८ जेठमा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb0ad845a0.wav,२०५५ स्थानीय स्वयत्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb90e421af.wav,२४ मेगावाट छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb7a3942ab.wav,२ सक्षम अधिकारीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebecd868b1.wav,३२ किलोमिटर उत्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebe470bcce.wav,४ नागरिक जीवन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb4ace47ba.wav,अकवर भन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebec6b0f29.wav,अघातद्वारा अत्याधिक विक्षेपित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb3bf857b1.wav,अघि बढाउनुभएको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebac4c0f3e.wav,अङ्क पाइँदैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb0f70a8c7.wav,अङ्कित छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb2a3f1e36.wav,अङ्ग हुन्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebf3e5aac6.wav,अदर स्टोरिज अङ्ग्रेजी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb51c00815.wav,अध्ययनमा ननफिक्सनमा बढी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb204d5b47.wav,अनजानमा हिंसा गर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb77517305.wav,अनुकूल हुने गरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb95a604e7.wav,अन्तरिक्ष विज्ञान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebfd5f4ab0.wav,अन्तसम्म रह्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebc5c42da7.wav,अन्तुडाँडा करिब मिको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb33e70d8e.wav,अन्य भाषा परिवारको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb32b5a38e.wav,अपराध घोषित गर्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb45dc1013.wav,अप्रिलफुलको रूपमा मनाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb8033233f.wav,अब कर्णाली नदीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebfbb5aa0f.wav,अभिनय गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb8a3030c0.wav,अर्को वर्ष अस्ट्रेलियाली
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebe1373515.wav,अर्थात् सर्पयोगमा जन्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebef70bba2.wav,अशुभ हुनबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebe1e429f0.wav,अश्रु ग्यास हान्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebdc7ad7c8.wav,अस्ट्रेलियाको प्रतीक बनेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb9ee0d274.wav,अँगालिएको हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb96acb8de.wav,आइपोड र आइप्याड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebdb37392a.wav,आइरहेका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb522fda1f.wav,आइसिएफसि फाइनान्स लिमिटेड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb308c6d71.wav,आउने कम्मरमा मुजैमुजा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb2241de43.wav,आकाशगङ्गा एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb6acb4cc9.wav,आधारभूत स्वास्थ्य र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebca068e4e.wav,आधारमा यति अधिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb4dc76f2c.wav,आन्तरिक झगडामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebfb1487ad.wav,आन्ध्र प्रदेशको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb8aa2591e.wav,आफ्नै घरमा निधन भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb9990d32a.wav,आफ्नै भर परौँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb6f58acf5.wav,आफ्नै लोहोरुङ भाषा बोल्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebb38c30ef.wav,आफ्नो घरको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb2685c60d.wav,आफ्नो धनुष विदेह
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb1c1e5b4a.wav,आफ्नो फाइदाका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb60dfb851.wav,आरक्षको धेरै भाग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebc5223659.wav,आरुबखडा अम्बा नासपाती
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebf88f4b13.wav,आर्थिक अभावमा यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebf5fcab25.wav,आवाज दिएका छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb79764f67.wav,आँधी धूलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb1b28e3fe.wav,उच्च शिक्षा मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebb3dc1fd9.wav,उत्तर गाईघाट भन्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebf060337d.wav,उत्तराञ्चल उत्तराखण्ड लगायतका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebcf7fb94d.wav,उद्देश्य लिएर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eba60aa331.wav,उनका मन्त्री वुल्जे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebfafc9fd9.wav,उनको लाइब्रेरीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebc13b1102.wav,उनले १९५१ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb18307ceb.wav,उनले कार्मेन माउरालाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb478fefef.wav,उनले देव आनन्दबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb219d1434.wav,उनले लोअर मेरिअन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb3900c7f2.wav,उनले संसारको इतिहासमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb94e8004e.wav,उनी २००५ देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\ebfbb3144c.wav,उनी चलचित्र निर्माता
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb842ddc76.wav,उनी छक्कै परे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb37bb68ac.wav,उनी समालोचनाका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\eb\processed_wav\eb0c3b83fa.wav,उनीसँग ५० हजार
