path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec1ecf002f.wav,१०० केन्द्रहरू पत्ता लागे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec963a376f.wav,१३ वटा हुने भएकोले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecbc7dc566.wav,१५ वर्षकी हुनुहुन्थ्यो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec8d442fa7.wav,१६५२ मा हनुमानढोका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\eca7e028a7.wav,१६ प्रकाश वर्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec3e104271.wav,१७५ रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec61cffe40.wav,१७ गते गोविन्दप्रसाद
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec16fae57a.wav,२०३० सालमा विद्यार्थी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec7213ac12.wav,२०४८ सालदेखि सक्रिय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecd99c4209.wav,२० लाखको हाराहारिमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec3b8591ca.wav,२३ वर्षहरूसम्म विपक्षमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecdfbef891.wav,२ जना बालबालिकाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec1142b035.wav,३२ किलोमिटर उत्तर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec72f2d722.wav,४ अप्रिल २०१२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecfd6b5eb9.wav,५१ छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec0c1924b7.wav,५ कक्षासम्म मात्र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec926551ec.wav,८ लाख मानिस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec11c9ec51.wav,९ क्षयरोग १० चर्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec7c8b1496.wav,अगाडिको किनारा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec89f069dc.wav,अघिल्लो चरणमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecc6893443.wav,अजम्बरी यार्सा गुम्बा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecd89dc117.wav,अञ्चललाई ५ जिल्लाहरूमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec98b495a0.wav,अतिशय वृद्धिको प्रभाव
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecc892ac3a.wav,अत्याधिक दवाब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecbabe4017.wav,अधिक द्वारा विभक्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec0650ebbc.wav,अध्यक्ष बनेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecd758426f.wav,अध्यक्ष सुन्दर थापा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ecd953ef96.wav,अध्ययन सरल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec1cb4b1e5.wav,अनुसार लगभग १००
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ec\processed_wav\ec8a11a960.wav,अनौठो प्रकाश
