path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed29d05deb.wav,१९४७मा एक भारतीय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edb1edab5d.wav,१९६६ ईमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed70d8af1a.wav,१९६९ मा बिते
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edb01dd04b.wav,१९९२ मा निर्वाचित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed0e44890f.wav,१९९५ मा लेट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edab590848.wav,२०६२ सालसम्म माओवादीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed53dda5b7.wav,२१ डिसेम्बर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edf2e80420.wav,२३ दशमलब ५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed90b307a7.wav,२७ मा पुगेको थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed29c02209.wav,२ जातीय समूहहरूका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ede6f7cbe1.wav,२ तारिखमा संविधानसभाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed52622975.wav,३५ दिनमा ड्रागनफल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edc2e02df9.wav,३६ उपराष्ट्रपति पदमुक्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed9d644095.wav,५३ व्यक्तिगत चन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed4168757a.wav,५ मिटर अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edb82adb00.wav,७ मा हुँदा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed661ff97e.wav,अङ्क पाइन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edffc61f5b.wav,अचेल नयाँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed6204688a.wav,अधिक खुसी महसुस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed08e1f408.wav,अधिकारी नेपाल विद्यार्थी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed3bc73c0c.wav,अध्यक्षता गरेका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed2ee2aca1.wav,अध्यापनको आवश्यक पर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed441cb91d.wav,अनि भुटानमा अझै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed86cec9d8.wav,अनुपातमा सिमल वा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edde5eb32e.wav,अनुसार २०१९ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed835af306.wav,अनेक सभ्यताहरू र समाजहरूले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ede85cbba9.wav,अन्त प्रधान दिगविन्दु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed3a4bc221.wav,अन्त्य गरेको श्रेय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed8579ce33.wav,अन्यत्र फैलिएका हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed64b9b540.wav,अन्य पुरस्कार एवं
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed4b91063f.wav,अपकृत्यमा वादीलाई भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed49b8729a.wav,अपनाउन सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed2723c672.wav,अभिन्न अङ्ग हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edda480a79.wav,अमरोहा पुग्न सकिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed4a4e3c39.wav,अमिताभले यी घटिया
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\eddd5956aa.wav,अमेरीका तथा दक्षिणी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edec8aa2fe.wav,अरबी शब्द हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed6567c0e2.wav,अरु पनि धेरै थर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edb980a44e.wav,अर्को वर्ष
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed9bb87897.wav,अवरुद्ध भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed6a840fc8.wav,अस्ट्रेलियाली संविधानद्वारा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edd1c7bf1f.wav,अहिंसाको प्रचार गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed0065041a.wav,आइतबारको दिन हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed36f85091.wav,आएअनुसार लाहुरे बन्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed8d1cca2e.wav,आएकी हौ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed52add098.wav,आकर्षण प्रकट गर्दछन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed09a6c8b9.wav,आकृति रहेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed5c83073c.wav,आधारमा मात्र मुद्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed2a15c121.wav,आधुनिक युगमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed059e5b6a.wav,आफ्नो पुस्तकहरूको सन्देशमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\eda6815d25.wav,आमालाई ढोगेर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\edd19c8b8c.wav,आयतनको सूत्र सूचीबद्ध
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed0a645f2b.wav,आयुक्तका रूपमा एसएस
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed63cbd0c9.wav,आरनमा हालेँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed5ffa3b35.wav,आवत जावत गर्छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed8cf7d13f.wav,इन्डेक्समा सिङ्गल मुड
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed878ed76b.wav,इमेजिनमा देखिँदै छन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed162680d7.wav,इलामबाट निर्वार्चित भए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed3239a812.wav,इसरो लन्च भेहिकल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed4ff39c5a.wav,ईश्वरबल्लभ सर्लाहीको मलङ्गवामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed393cd243.wav,उक्त विजयी गोलप्रति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed7a76de02.wav,उत्तर प्रदेशको कानपुरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_e\asr_nepali\data\ed\processed_wav\ed1d74d914.wav,उत्पन्न गर्ने
