path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc2e252c16.wav,१० ओभरहरूका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc7ef782ce.wav,१० डिग्रीको पनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc9816b104.wav,१४ डेटिङको प्रयोग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc7fc47e96.wav,१९६६ जुलाईमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fcb331400f.wav,१९७६ मा उनले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc0d0bbe02.wav,१९८५ को नोभेम्बरमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc9ae99a63.wav,२००३ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc2bf24a14.wav,२०१३ मा उत्कृष्ट प्रदर्शन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fcdcb2c481.wav,२०५३ सालमा माओवादीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc49464958.wav,२०५८ सालमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc0149a972.wav,२६ गतेको हकमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fca6066ba2.wav,३३३ मिटर अग्लो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fcea31b209.wav,३ मा ती दुवैजना
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc8d06b063.wav,५६ वर्षीय झाँगडका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fceb618c9d.wav,६० वर्ष पहिले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc48c6f655.wav,अगाडि निक्लेका थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc130689c3.wav,अग्लो हुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fc0048597c.wav,अञ्चलको तनहुँ जिल्लाको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fc\processed_wav\fceb1e3bc4.wav,अड्डाको स्थापना गरियो
