path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd9543b6f2.wav,० दशमलव ५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd410e590b.wav,१५ अप्रिल २०१२
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd90b8538c.wav,१६९ को आदिवासीको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd80d989f6.wav,१९३० मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd9d9da006.wav,१९३० मा लिवरल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd6b2e508a.wav,२००८ को अनुसार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fda2509657.wav,३ बजे गुम्बज आकारको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd7feaf72e.wav,४९००० वर्ग किमि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd3706e468.wav,८१ मत प्राप्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fdb3794f63.wav,अक्टोबर २००७ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd4ba32e3e.wav,अगाडि आएर धेरै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fdba63071b.wav,अगाडि ल्याइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fda992882c.wav,अघि चाल्नाले चालिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd2648f5be.wav,अङ्गहरू हुने एक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd61bf393f.wav,अङ्ग्रेजी विद्यालहरूमा पठाउनु
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd0a1b3df3.wav,अझ केही ठूलो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fda8630c5a.wav,अञ्चल दोलखा जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd44bacfe3.wav,अठार किलोमिटरको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd07350184.wav,अड्याइएको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd044733d8.wav,अधिकारको लागि गरेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd4629a2b0.wav,अधिकारको विभाजन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fde02abc0f.wav,अध्यक्ष पनि थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd70f6d613.wav,अध्यक्ष बन्नुभयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd3d5f768d.wav,अध्ययन गरिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd20ed3856.wav,अनुसन्धान भइरहेको अवस्थामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd0956c7cc.wav,अनुसरण गर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd45df2454.wav,अन्तर्राष्ट्रिय समुदायबाट समेत
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd5cd689a9.wav,अन्यथा मिल्दोजुल्दो शीर्षक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd3a089768.wav,अन्य भाषाको विकिपीडियामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd9d009da7.wav,अपकृत्य हो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\fd\processed_wav\fd6fdaf1f2.wav,अप्रिलको दिन खानीमा काम गर्नेहरुको राष्ट्रिय युनियनको अध्यक्ष बनेर केन्द्रीय समितिलाई सम्बोधन गरे।
