path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff2e8bb6c0.wav,१६ जुन २०१० देखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff5fc47bbc.wav,१९३० मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff4dc5ac50.wav,१९७० सम्म प्रथम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffabad0ade.wav,१९७१ र उनीपछि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff1e53214e.wav,२००७ मा ब्यारिमोर
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff07618535.wav,२००७ सम्म बसे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffd7e46d3d.wav,२०२६ मा प्रवल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff76607a21.wav,२०२ मा प्रकाशित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff592b0ee8.wav,२०३० सालमा विद्यार्थी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff2b2a22cf.wav,३१ मार्च १७२७
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff620d2e8e.wav,६६ मिटर बागे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffac7e9454.wav,अग्रवनका नामले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff9de21362.wav,अङ्ग्रेजी महिनाको अक्टोबरको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffce9af4c7.wav,अथवा अधुरो छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff137ac004.wav,अथिति भूमिका निभाइन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff7ca79b61.wav,अधिकारका लागि आफ्नो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff0cddb4aa.wav,अधिकांश दलित वस्ती
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff7d60c1b4.wav,अध्यक्ष नियुक्त गरिदिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff848522c5.wav,अध्ययन गरिन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff9e3e8a88.wav,अनि सूर्यास्तको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff7465e0f1.wav,अनुसार त्यतिबेला जङ्गबहादुरले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffeea5691f.wav,अनौठो होइन जति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff6ef349c7.wav,अन्तर्गत पर्ने भएकाले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ff7fce5443.wav,अन्य ग्रहहरूमा मौसम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffc206f402.wav,अन्य प्रशासनिक कार्यका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_f\asr_nepali\data\ff\processed_wav\ffd6766e3e.wav,अपकार भनेर
